Hash;Original;Tradução
"5324dd9";"The poor do no comprehend the burden of wealth people like you and I must carry.";"Os pobres não compreendem o fardo da riqueza que pessoas como você e eu devemos carregar."
"5324dda";"You may not have the breeding, but you certainly have the wealth. And that's what really matters.";"Você pode não ter a linhagem, mas certamente tem a riqueza. E é isso que realmente importa."
"5324ddb";"You're loaded aren't you.";"Você é rico, não é?"
"5324ddc";"How'd you get to be so rich anyway?";"Como você ficou tão rico?"
"5324ddd";"What do you do with all that gold? Can I have some?";"O que você faz com todo esse ouro? Posso ficar com um pouco?"
"5324ddf";"I bet you sleep on a big pile of gold, don't you.";"Aposto que você dorme em uma pilha de ouro, não é?"
"532d6af";"You're doing very well for yourself, aren't you.";"Você está se dando muito bem, não é?"
"1e8b0979";"I do not believe I have seen you before, outsider.";"​​Não creio que já a tenha visto antes, forasteira."
"1e8b097a";"You first visit to our town, wanderer?";"Primeira visita à nossa cidade, andarilha?"
"1e8b097b";"You're not from round these parts, are ya?";"Você não é daqui, é?"
"1e8b097c";"You haven't been round here before, have you?";"Você nunca esteve por aqui antes, não é?"
"1e8b097d";"You must be new around here, right?";"Você deve ser novo por aqui, certo?"
"1e8b097e";"Don't remember seeing you before, stranger.";"Não me lembro de ter te visto antes, estranho."
"1e8c10f8";"Hmm, you must be new to these parts.";"Hmm, você deve ser novo por aqui."
"278b1749";"New to these parts are you, stranger?";"É novo por aqui, forasteiro?"
"278b174b";"I don't recognise you. New to town?";"Não te reconheço. Chegou agora à cidade?"
"278b174c";"i don't remember seeing you before. Welcome, stranger.";"Não me lembro de ter te visto antes. Bem-vindo(a), forasteiro(a)."
"278b174d";"I have not seen you before, stranger.";"Nunca te vi antes, forasteiro(a)."
"278b174e";"You are new to this part of the world, are you not?";"Você é novo por aqui, não é?"
"278b174f";"You ain't from around here, are you?";"Você não é daqui, é?"
"278c760c";"New here, aren't you?";"Novo por aqui, não é?"
"2a3349f0";"You're new around these parts, aren't you?";"Você é novo por aqui, não é?"
"2f7cfbd1";"You got to admire anyone enterin' the institution of matrimony in this day'n'age. Huh?";"É preciso admirar quem entra para a instituição do matrimônio nos dias de hoje. Hein?"
"2f7cfbd3";"It is always a felicitious occasion when a Hero settles down and marries.";"É sempre uma ocasião feliz quando um herói se casa."
"2f7cfbd4";"Ahh, their marriage has inspired me to find a wife of my own. A new, younger one I mean. Ho ho!";"Ah, o casamento deles me inspirou a encontrar uma esposa para mim. Uma nova, mais jovem, quero dizer. Hoho!"
"36f28d21";"You're some sort of magician with that lute. Never miss a note!";"Você é uma espécie de mágico com esse alaúde. Nunca erre uma nota!"
"36f28d24";"You sure know how to play a tune!";"Você sabe tocar muito bem!"
"36f28d26";"Not just an adventurer are you? A great bard too.";"Você não é só um aventureiro, é? Um grande bardo também."
"36f28d27";"When you play that lute, the whole world sings.";"Quando você toca esse alaúde, o mundo inteiro canta."
