Hash;Original;Tradução
"12999632";"Got turned away from The Crucible I did. Said I was too strong, wouldn't be fair to the others.";"Fui barrado no Crisol. Disseram que eu era forte demais, que não seria justo com os outros."
"12a21c50";"A sword's good, but nuttin' beats a good kick in the teeth.";"Uma espada é boa, mas nada supera um bom chute nos dentes."
"144268c1";"So you finally tied the knot. How wonderful.";"Então você finalmente se casou. Que maravilha!"
"144268c2";"I can't believe you got married! Congratulations!";"Não acredito que você se casou! Parabéns!"
"144268c4";"Congratulations! It's nice to see you're settling down.";"Parabéns! Que bom ver que você está se estabelecendo."
"144268c5";"Settling down and starting a family, are we? That is very salutary.";"Se estabelecendo e formando uma família, é? Isso é muito salutar."
"144268c6";"I hope you had a lovely wedding.";"Espero que você tenha tido um casamento maravilhoso."
"144268c7";"What you want to get married for. Each to their own I guess.";"Para que você quer se casar? Cada um com seus motivos, eu acho."
"1442777b";"Another one joins the miserable life of marriage then.";"Mais um para a vida miserável do casamento, então."
"1d427729";"Felicitations on your marriage! How wonderful for you.";"Parabéns pelo seu casamento! Que maravilha para vocês."
"1d42772a";"I am gratified to learn of your recent union.";"Fiquei muito feliz em saber da sua recente união."
"1d42772b";"Commiserations. Heard you got hitched.";"Meus pêsames. Soube que você se casou."
"1d42772c";"So you got married, huh? Happens to the best of us.";"Então você se casou, hein? Acontece com os melhores."
"1d42772d";"Got hitched did you? Well done!";"Casou mesmo? Parabéns!"
"1d42772f";"Always nice to see someone tying the knot.";"Sempre bom ver alguém se casando."
"1d428468";"Congrats on the marriage!";"Parabéns pelo casamento!"
"2c21ffa7";"You ask me, they should let us beat all criminals to an inch of their lives. That'd sort out the crime rate in this country.";"Se me perguntarem, deveriam nos deixar espancar todos os criminosos até quase a morte. Isso resolveria o problema da criminalidade neste país."
"2c279e49";"I could've been a bard you know. Got the voice for it. Listen. La! La!";"Eu poderia ter sido um bardo, sabia? Tenho a voz para isso. Escuta. Lá! Lá!"
"2f7cfbd2";"I can still remember my own wedding night. Shame about the years that came after it. Ha ha!";"Ainda me lembro da minha noite de núpcias. Que pena dos anos que vieram depois. Haha!"
"2f7cfbd6";"Any idea where they went on their honeymoon?";"Alguém sabe onde eles foram na lua de mel?"
"2f7cfbd7";"Seems everyone's getting married but me.";"Parece que todo mundo está se casando, menos eu."
"2f7da808";"I expect they'll be having children soon.";"Acho que eles vão ter filhos em breve."
"347d03f1";"How long you think that marriage'll last?";"Quanto tempo você acha que esse casamento vai durar?"
"347d03f2";"I didn't think that Hero'd ever get hitched.";"Eu não imaginava que o Herói fosse se casar."
"347d03f3";"Were you invited to the wedding? I expect if it was a pauper's ceremony.";"Você foi convidado para o casamento? Imagino que tenha sido uma cerimônia simples."
"347d03f5";"A Hero getting married. How tremendously glamourous.";"Um Herói se casando. Que glamour!"
"347d03f6";"Did you hear about the marriage?";"Você soube do casamento?"
"347d03f7";"Another married couple in town. Always nice to see.";"Mais um casal casado na cidade. Sempre bom ver isso."
"347e1a81";"I hear the wedding was just lovely.";"Ouvi dizer que o casamento foi lindo."
"406b6f09";"I was ever so sorry to learn about your divorce.";"Lamento muito saber do seu divórcio."
"406b6f0a";"Marriage is a scared institution, but it does not always work for the best.";"O casamento é uma instituição sagrada, mas nem sempre funciona da melhor maneira."
"406b6f0b";"That's being married for you. It doesn't last two minutes.";"É assim que é ser casado. Não dura dois minutos."
"406b6f0c";"So, your marriage didn't take huh? Wait till you've had half a dozen, like me.";"Então, seu casamento não deu certo, né? Espere até ter uns seis, como eu."
"406b6f0d";"You got divorced? Oh, I'm so sorry.";"Você se divorciou? Oh, sinto muito."
"406b6f0e";"Shame about your marriage. But don't give up on love just yet.";"Que pena do seu casamento. Mas não desista do amor ainda."
"406d03b3";"Sorry to hear about your divorce.";"Sinto muito pelo seu divórcio."
