Hash;Original;Tradução
"0b1a806";"Meat Stall Sale";"Venda de Carnes"
"4570dd9";"Bowerstone Stone Cutter is currently suffering from a large shortage due to magical issues which are not fully understood. This is a golden opportunity for any augment sellers out there.";"A Cortadora de Pedras de Bowerstone está sofrendo com uma grande escassez devido a problemas mágicos ainda não totalmente compreendidos. Esta é uma oportunidade de ouro para qualquer vendedor de aprimoramentos."
"69c6579";"Pie Stall Massive Sale";"Grande Liquidação na Barraca de Tortas"
"713433e";"Bowerstone Pie Stall is having a small sale for the next few days. Pick up a nice pie for a reasonable price.";"A Barraca de Tortas de Bowerstone está com uma pequena promoção nos próximos dias. Compre uma torta deliciosa por um preço razoável."
"114d4075";"Stylist Huge Shortage";"Grande escassez de estilistas"
"12bf2771";"Male Tailors Sale";"Promoção de Alfaiataria Masculina"
"14b67bd4";"Bowerstone Stylist is having a huge sale for the next few days. Buy these bargains while you can!";"A Bowerstone Stylist está com uma super promoção nos próximos dias. Aproveite essas ofertas enquanto pode!"
"1686745e";"Bowerstone Male Tailors is currently suffering from a shortage due to... incompetent management, to be honest. The new management is paying well for men's clothes.";"A Alfaiataria Masculina de Bowerstone está sofrendo com a falta de estoque devido à... incompetência da administração, para ser honesto. A nova administração está pagando bem por roupas masculinas."
"184d7a6f";"Pie Stall Big Shortage";"Grande escassez na barraca de tortas!"
"1c7b6bc3";"Bowerstone Meat Stall is having a small sale for the next few days. Meat on the cheap.";"O açougue Bowerstone está com uma pequena promoção pelos próximos dias. Carne barata."
"1cac8630";"Bowerstone Produce Stall is having a huge sale for the next few days. Eat your veg, now cheaper than ever!";"A barraca de produtos Bowerstone está com uma super promoção nos próximos dias. Coma seus vegetais, agora mais baratos do que nunca!"
"2035707a";"Bowerstone Female Tailors is having a small sale for the next few days. Buy something nice for that someone special, even if it's yourself!";"A Bowerstone Female Tailors está com uma pequena promoção nos próximos dias. Compre algo especial para alguém querido, mesmo que seja para você!"
"208f3319";"Bowerstone Meat Stall is having a huge sale for the next few days. Stock up on meat!";"O Açougue de Bowerstone está com uma super promoção nos próximos dias. Aproveite para comprar bastante carne!"
"212c00d8";"Bowerstone Produce Stall is currently suffering from a large shortage due to produce-production problems. Produce is worth its weight in gold (nearly)!";"A barraca de produtos de Bowerstone está sofrendo com uma grande escassez devido a problemas na produção. Os produtos frescos valem seu peso em ouro (quase)!"
"229c4198";"Fish Stall Shortage";"Escassez na Barraca de Peixes"
"24364a75";"Stone Cutter Massive Sale";"Grande Promoção de Cortadores de Pedra"
"26002458";"Bowerstone Fish Stall is having a sale for the next few days. Cheap fish!";"A peixaria Bowerstone está com promoção pelos próximos dias. Peixe barato!"
"2777f4a1";"Bowerstone Drinks Stall is having a small sale for the next few days. Cheap drinks are almost as good as free drinks.";"A barraca de bebidas Bowerstone está com uma pequena promoção nos próximos dias. Bebidas baratas são quase tão boas quanto bebidas grátis."
"27a58188";"Bowerstone Female Tailors is currently suffering from a small shortage owing to a quality issue with the thread used in their last shipment. They're paying well to replenish their stock.";"A Bowerstone Female Tailors está com um pequeno problema de falta de estoque devido a uma falha na qualidade da linha usada no último lote. Eles estão pagando um bom preço para repor o estoque."
"2bf147d9";"Female Tailors Shortage";"Escassez de costureiras"
"2c03b8c0";"Female Tailors Sale";"Costureiras em Promoção"
"30d87d13";"Bowerstone Fish Stall is having a small sale for the next few days. High protein, low cost.";"A peixaria Bowerstone está com uma pequena promoção nos próximos dias. Alto teor de proteína, baixo preço."
"32344308";"Stylist Big Shortage";"Grande Escassez de Estilistas"
"33503d20";"Pie Stall Shortage";"Escassez de Barracas de Torta"
"35247af1";"Fish Stall Sale";"Liquidação na barraca de peixe"
"3703f50f";"Bowerstone Female Tailors is currently suffering from a large shortage due to a reduction in cotton supply. There's never been a better time to unload your ladies' finery.";"A Alfaiataria Feminina de Bowerstone está sofrendo com uma grande escassez devido à redução no fornecimento de algodão. Nunca houve melhor momento para se desfazer das suas roupas femininas."
"38b652a0";"Stone Cutter Big Sale";"Grande Promoção de Cortadores de Pedra"
