Hash;Original;Tradução
"0c1f8f2";"It takes someone special to be quite so adored. The only downside is being chased by a horde.";"É preciso alguém especial para ser tão adorado. A única desvantagem é ser perseguido por uma horda."
"0f44a38";"Sparrow's a bird that's not very wild, more often than not a name for a child.";"Pardal(Sparrow) é um pássaro que não é muito selvagem, geralmente um nome para criança."
"182475b";"The Hero was tricked into entering a cave, proving once more, no one's as brave.";"O Herói foi enganado e levado para uma caverna, provando mais uma vez que ninguém é tão corajoso."
"1f44bab";"But deeds performed have left us impressed. This Sparrow has certainly flown from the nest.";"Mas os feitos realizados nos impressionaram. Este Padral certamente alçou voo do ninho."
"2099dbb";"But insults don't hurt her, she takes them as read. And so too would you if you're name was Nobhead.";"Mas insultos não a afetam, ela os aceita como verdade absoluta. E você também aceitaria se seu nome fosse Cabeça-dura."
"20c81b0";"But insults don't hurt him, he takes them as read. And so too would you if you're name was Nobhead.";"Mas os insultos não o afetam, ele os aceita como verdade absoluta. E você também aceitaria se seu nome fosse Cabeça-Dura."
"ad0a428";"Follower of all that is true and is right, defeater of evil, beloved by the Light.";"Seguidor de tudo que é verdadeiro e correto, derrotador do mal, amado pela Luz."
"ba3366a";"The Hero found a woman, and to the farm he sent her. But everybody knew, she wasn't the right gender.";"O Herói encontrou uma mulher e a mandou para a fazenda. Mas todos sabiam que ela não era do gênero certo."
"ba3e6f2";"The Hero found a woman, and to the farm she sent her. But everybody knew, she wasn't the right gender.";"O Herói encontrou uma mulher e a mandou para a fazenda. Mas todos sabiam que ela não era do gênero certo."
"bd24958";"With sword in her hand, of hobbes she's the bane. As for the fellow who tricked her, let's call him insane.";"Com a espada na mão, ela é a ruína dos hobbes. Quanto ao sujeito que a enganou, vamos chamá-lo de louco."
"bd6907e";"With sword in his hand, of hobbes he's the bane. As for the fellow who tricked him, let's call him insane.";"Com a espada na mão, ele é a ruína dos hobbes. Quanto ao sujeito que o enganou, vamos chamá-lo de louco."
"dd16ca2";"When it's all over and darkness is gone, we'll have to say thank you, oh Chosen One.";"Quando tudo acabar e a escuridão se for, teremos que dizer obrigado, ó Escolhido."
"e445bcf";"In his eyes you can see a most fearsome hunger. No wonder they call him the Fearmonger.";"Em seus olhos, você pode ver uma fome terrível. Não é à toa que o chamam de Incitador do Medo."
"e48a884";"In her eyes you can see a most fearsome hunger. No wonder they call her the Fearmonger.";"Em seus olhos, você pode ver uma fome terrível. Não é à toa que a chamam de Incitadora do Medo."
"11b8570d";"You will always find him ready to prowl, waiting to connect a boot with a fowl.";"Você sempre o encontrará pronto para rondar, esperando para acertar uma bota em uma ave."
"11bdcf99";"You will always find her ready to prowl, waiting to connect a boot with a fowl.";"Você sempre a encontrará pronta para rondar, esperando para conectar uma bota com uma ave."
"158340ef";"There's no one that's better or smarter or fitter, and those who say no are merely bitter.";"Não existe ninguém melhor, mais inteligente ou mais forte, e aqueles que dizem o contrário são apenas amargos."
"1882c7b3";"The Hero had once again conquered the Crucible, from which just one thing is clear and deducible.";"O Herói havia conquistado o Crisol mais uma vez, do qual apenas uma coisa é clara e dedutível."
"1b50ee1a";"Except that it wasn't and now they are wed. Let's hope they are happy for the sake of the dead.";"Só que não era, e agora eles estão casados. Esperemos que sejam felizes pelo bem dos mortos."
"23718990";"The Joker of Albion, makes most of us titter. Uncreases the frowns from even the bitter.";"O Coringa de Albion faz a maioria de nós rir baixinho. Desfaz até as carrancas mais amarguradas."
"266f474c";"You'll fall over laughing and ask for some more. And if you're quite lucky, you'll get an encore.";"Você vai cair de tanto rir e pedir mais. E se tiver muita sorte, vai ganhar um bis."
"2c578c3a";"The tongue in his head isn't as sharp, but better a blade than a lute or a harp.";"A língua dele não é tão afiada, mas é melhor uma lâmina do que um alaúde ou uma harpa."
"2f597dbc";"The hero called Blade wields a fine-looking sword, mightier than pen and at peril ignored.";"O herói chamado Blade empunha uma espada de aparência refinada, mais poderosa que uma caneta e perigosamente ignorada."
"34612fe4";"The world is abused, defiled and demeaned, whenever it crosses the vile Shadowfiend.";"O mundo é abusado, profanado e humilhado sempre que cruza o caminho do vil Shadowfiend."
"348f74cc";"There's no greater terror than the one that he brings. The scourge of so many, from beggar to king.";"Não há terror maior do que aquele que ele inspira. O flagelo de tantos, do mendigo ao rei."
"3491c8b7";"There's no greater terror than the one that she brings. The scourge of so many, from beggar to king.";"Não há terror maior do que aquele que ela traz. O flagelo de tantos, do mendigo ao rei."
"34efb3f3";"But they'd better stay quiet and out the way, or soon the Avenger will have reason to slay.";"Mas é melhor que fiquem quietos e fora do caminho, ou logo o Vingador terá motivos para matar."
"36b0ca37";"Now there are two ghosts haunting the night. Love is quite painful when it doesn't end right.";"Agora há dois fantasmas assombrando a noite. O amor é bem doloroso quando não termina bem."
"375c6cfa";"There the Judges claimed their price, paid through evil sacrifice.";"Ali os Juízes reivindicaram seu preço, pago por meio de sacrifício maligno."
"3762bee9";"A friend of the darkness, destroyer of light, bringer of doom, famine and fright.";"Um amigo das trevas, destruidor da luz, portador da ruína, da fome e do medo."
"37f0c9d0";"With a name like Avenger some are likely to say, this hero is old-hat, a walking cliché.";"Com um nome como Vingador, alguns provavelmente dirão que este herói é antiquado, um clichê ambulante."
"3ccd5dd8";"The only to open, each and every one, is the Hero here before you, what a job she's done.";"A única que deve ser aberta, sem exceção, é a Heroína aqui diante de vocês. Que trabalho incrível ela fez!"
"3cd22488";"The only to open, each and every one, is the Hero here before you, what a job he's done.";"A única que deve ser aberta, sem exceção, é a Heroína aqui diante de vocês. Que trabalho incrível ele fez!"
"3d192f7a";"Always on the wrong side of the law, the people hold her in awe.";"Sempre do lado errado da lei, as pessoas a admiram."
"3d1b6dae";"Always on the wrong side of the law, the people hold him in awe.";"Sempre do lado errado da lei, as pessoas o admiram."
"3e614e95";"And when he finally raised one, the Hero got ahead. The Keeper is so sad now, can't even date the dead.";"E quando ele finalmente levantou uma taça, o Herói saiu na frente. O Guardião está tão triste agora, que nem consegue namorar os mortos."
"3f4b0428";"Brute is his name, and he fights without thought. And the following morning forgets who he's fought.";"Bruto é o seu nome, e ele luta sem pensar. E na manhã seguinte esquece com quem lutou."
"3f4d168c";"Brute is her name, and she fights without thought. And the following morning forgets who she's fought.";"Bruta é o seu nome, e ela luta sem pensar. E na manhã seguinte esquece com quem lutou."
"47edaa83";"Bounty Hunter, killer of crooks. Criminals watch out, nervous their looks.";"Caçador de recompensas, assassino de bandidos. Criminosos, cuidado, seus olhares ficam nervosos."
"48063462";"The farmer all he wanted, was a nice girl for his son. He asked the mighty Hero, to help him find the one.";"Tudo o que o fazendeiro queria era uma boa moça para seu filho. Ele pediu ao poderoso Herói que o ajudasse a encontrar aquele que lhe restava."
"580fdb78";"Here comes the Executioner, bringer of death to saint and to sinner.";"Eis que vem o Carrasco, portador da morte para santos e pecadores."
"601e3ea8";"There's nothing as precious as one's flesh and blood. When the Heroes went missing, it was the opposite of good.";"Não há nada tão precioso quanto a própria carne e sangue. Quando os Heróis desapareceram, foi o oposto de bom."
"6037a3c0";"So when he finally raised one, the Hero stood aside. The Keeper was dead grateful, the corpse is now his bride.";"Então, quando ele finalmente levantou uma, o Herói se afastou. O Guardião estava extremamente grato, o cadáver agora é sua noiva."
"6314f7ad";"Stop and say "hello" when you see her, though you may find you're a dreamer.";"Pare e diga "olá" quando a vir, embora possa descobrir que estava sonhando."
"6316f713";"Stop and say "hello" when you see him, though you may find you were dreaming.";"Pare e diga "olá" quando o vir, embora possa descobrir que estava sonhando."
"64d58db4";"A wag of the tail signals its joy, all that it wanted was a squeaky toy.";"Um abanar de rabo sinaliza sua alegria; tudo o que queria era um brinquedo que fizesse barulho."
"67354237";"The Hero travelled into the heart of Wraithmarsh, a barren reign of drowning ash.";"O Herói viajou para o coração de Wraithmarsh, um reino árido de cinzas afogadas."
"67cf30b8";"A Dog Lover knows the true worth of a hound, a faithful companion of friendship profound.";"Um amante de cães conhece o verdadeiro valor de um cão de caça, um companheiro fiel de profunda amizade."
"69a0149d";"A troll is quite ancient, there's nothing that's older, and one was found out to be causing foul odour.";"Um troll é bastante antigo, não há nada mais antigo, e um deles foi descoberto por causar mau cheiro."
"6c9b4777";"The Hero who slayed it did so quite well, and now there's an inn that's free of its smell.";"O Herói que a derrotou fez um ótimo trabalho, e agora há uma estalagem livre do seu cheiro."
"6f714db7";"Ah, you're back! I've transformed your latest adventures into epic ballads that are sure to delight and astonish.";"Ah, você voltou! Transformei suas últimas aventuras em baladas épicas que certamente irão encantar e surpreender."
