Hash;Original;Tradução
"14c3f05a";"I've always wanted a tattoo of interlinked chains representing the eternal non-stoppingness of all things.";"Sempre quis uma tatuagem de correntes entrelaçadas representando a eternidade e a incessância de todas as coisas."
"14c3f05b";"Is there a tattoo parlour nearby?";"Tem algum estúdio de tatuagem por perto?"
"14c3f05c";"How come it's always men getting tattoos? I want one too. In fact, I might just get one today!";"Por que são sempre os homens que fazem tatuagens? Eu também quero uma. Aliás, acho que vou fazer uma hoje mesmo!"
"14c3f05d";"Where can I find a tattooist? I want tiny little heart.";"Onde posso encontrar um tatuador? Quero um coraçãozinho."
"14c98148";"I want a tattoo of a leg on my leg, so it's all postmodern like.";"Quero uma tatuagem de uma perna na minha perna, bem pós-moderna."
"16784811";"They're having massive shortages in this town. Those shops are in trouble.";"Há uma grande escassez nesta cidade. Essas lojas estão em apuros."
"16784812";"I heard a good tip about a shortage in town. Someone with the right items could make a lot of money.";"Ouvi uma boa dica sobre uma escassez na cidade. Alguém com os itens certos poderia ganhar muito dinheiro."
"16784816";"There's a huge gap in the market in one of the town's shops. You could make killing if you had the stock they're after.";"Há uma grande lacuna no mercado em uma das lojas da cidade. Você poderia ganhar muito dinheiro se tivesse o estoque que eles procuram."
"16784817";"There's quite a big shortage in town. Might look into it.";"Há uma grande escassez na cidade. Talvez seja bom investigar."
"167b31ea";"Great big shortage of some stuff in town. Might have to look elsewhere for my shopping.";"Grande falta de alguns produtos na cidade. Talvez eu tenha que procurar outro lugar para fazer compras."
"19c3f87a";"I had a dream about a small pig riding a horse. It would make a great tattoo. Is there a tattooist near here?";"Sonhei com um porquinho montando um cavalo. Seria uma ótima tatuagem. Tem algum tatuador por aqui?"
"19c3f87b";"Erm, where might one get "Delilah forever" tattooed on his arm? No, make that "Cassandra forever".";"Hum, onde alguém poderia tatuar "Delilah para sempre" no braço? Não, melhor "Cassandra para sempre"."
"19c3f87c";"No one has ever needed a tattooist like I need one now.";"Ninguém nunca precisou tanto de um tatuador como eu preciso agora."
"19c3f87d";"Any tattooists around here?";"Tem algum tatuador por aqui?"
"19c66267";"I need a tattoo if I'm gonna stand out of the crowd. Know where I can get one?";"Preciso de uma tatuagem para me destacar na multidão. Sabe onde posso fazer uma?"
"1f78567b";"Some of the shops here are having massive shortages.";"Algumas lojas aqui estão com falta de estoque enorme."
"1f78567c";"Massive shortages round here. If you've got the right stuff to sell, you could make a nice profit.";"Há muita falta de estoque por aqui. Se você tiver os produtos certos para vender, pode lucrar bastante."
"1f78567d";"Clever traders could make a killing in this town. There's a huge shortage in some of the shops.";"Comerciantes espertos podem ganhar muito dinheiro nesta cidade. Há uma grande falta de estoque em algumas lojas."
"1f78567f";"There's a tremendous shortage in the shops. Something should do something about it.";"Há uma enorme falta de estoque nas lojas. Alguém precisa fazer algo a respeito."
"1f79a479";"There's some big shortages in this town. I could make a fortune if I knew where to get the right supplies.";"Há uma grande escassez nesta cidade. Eu poderia fazer uma fortuna se soubesse onde encontrar os suprimentos certos."
"3b502a2b";"Damn stores running low on goods again.";"As lojas estão ficando sem estoque de novo."
"3b502a2c";"You could make some gold now the shops're running low on stock.";"Você poderia ganhar um bom dinheiro agora que as lojas estão com pouco estoque."
"3b502a2d";"Have you heard that the shops round here are suffering from shortages?";"Você ouviu dizer que as lojas por aqui estão sofrendo com a falta de produtos?"
"3b502a2e";"There's shortages in the shops. You could make good money trading.";"Há falta de produtos nas lojas. Você poderia ganhar um bom dinheiro negociando."
