Hash;Original;Tradução
"1226057b";"What will it be?";"O que vai querer?"
"1226057c";"What can I get ya?";"O que posso lhe servir?"
"1226057d";"Care to order?";"Gostaria de fazer um pedido?"
"1226057e";"May I offer you a drink?";"Posso lhe oferecer uma bebida?"
"1227d129";"What will it be?";"O que vai querer?"
"1b261349";"What'll you have?";"O que vai querer?"
"1b26134b";"Something from the bar?";"Algo do bar?"
"1b26134e";"What will it be?";"O que vai ser?"
"1b26134f";"Care for a drink?";"Gostaria de uma bebida?"
"1b2acbb9";"And you'll have?";"E você terá?"
"23dfd5fb";"Nothing too strong, please. It might go to my head.";"Nada muito forte, por favor. Pode subir à minha cabeça."
"23e060c3";"I think I shall have on of those frothy beverages the common people so seem to enjoy.";"Acho que vou querer uma dessas bebidas espumosas que o povo tanto aprecia."
"27ec48f3";"Ready for another?";"Pronto para mais uma?"
"27ec48f4";"Fancy some more?";"Quer mais uma?"
"27ec48f5";"Not finished just yet?";"Ainda não terminou?"
"27ec48f7";"Fancy another?";"Quer mais uma?"
"27ef06ee";"Ready for another drink?";"Pronto para mais uma bebida?"
"288fb8f9";"Somethin' to drink?";"Algo para beber?"
"288fb8fd";"Drink?";"Bebida?"
"288fb8fe";"Would you like a drink?";"Gostaria de uma bebida?"
"288fb8ff";"What can I get ya?";"O que posso lhe servir?"
"289327f8";"A drink for you?";"Uma bebida para você?"
"2eec53f9";"Still thirsty?";"Ainda com sede?"
"2eec53fa";"Fancy a refill?";"Quer mais uma bebida?"
"2eec53fe";"Fancy another drink?";"Quer outra bebida?"
"2eec53ff";"Some more?";"Mais um pouco?"
"2ef0b661";"Fancy another?";"Quer mais um?"
"2f475812";"What will you have next?";"O que você vai querer agora?"
"2f475813";"More drinkies?";"Mais bebidas?"
"2f475814";"Time for another?";"Hora de mais uma?"
"2f475815";"Want something else?";"Quer algo diferente?"
"2f54ce21";"What'll you have?";"O que você vai querer?"
"320fbc23";"One more?";"Mais uma?"
"320fbc24";"Another?";"Mais uma?"
"320fbc25";"Another round?";"Mais uma rodada?"
"320fbc27";"Shall I pour another?";"Devo servir mais uma?"
"32108a95";"Still parched?";"Ainda com sede?"
"338fca29";"Drink?";"Bebida?"
"338fca2c";"Sumpin' to drink?";"Algo para beber?"
"338fca2e";"Something from the bar?";"Algo do bar?"
"338fca2f";"A drink, perhaps?";"Uma bebida, talvez?"
"3393363d";"Something to wet your whistle?";"Algo para matar a sede?"
"390fc729";"Another drink?";"Mais um drinque?"
"390fc72a";"Another round?";"Mais uma rodada?"
"390fc72e";"Another drink?";"Mais uma bebida?"
"390fc72f";"Another?";"Mais uma?"
"39121d2f";"Another one?";"Mais um?"
"3a476942";"What will you have next?";"O que você vai querer agora?"
"3a476943";"What can I get for you?";"O que posso lhe oferecer?"
"3a476944";"What'll it be this time?";"O que será desta vez?"
"3a476945";"What will you have now?";"O que você vai querer agora?"
"3a48ffc0";"Anything else?";"Mais alguma coisa?"
"56b21073";"Just get me a drink. Wet and spicy.";"Só me traga uma bebida. Molhada e apimentada."
"56b21074";"What's the manliest stuff you've got in this place?";"Qual é a coisa mais máscula que você tem neste lugar?"
"56b21075";"I need a drink! Now!";"Preciso de uma bebida! Agora!"
"56b21077";"A pint of Jack of Blades. Nice and cold.";"Uma caneca de Jack of Blades. Bem gelada."
"56b36878";"You know what I want.";"Você sabe o que eu quero."
"575ae18a";"More Beer?";"Mais cerveja?"
"575ae18b";"Need a refill?";"Precisa de mais?"
"575ae18c";"Alright there?";"Tudo bem?"
"575ae18d";"You need a top up?";"Precisa de mais alguma coisa?"
"576080fd";"Anything else?";"Mais alguma coisa?"
"5c5ae9aa";"You thirsty?";"Você está com sede?"
"5c5ae9ab";"More of the same?";"Mais do mesmo?"
"5c5ae9ac";"Refill?";"Mais uma bebida?"
"5c5ae9ad";"Anything else for you?";"Mais alguma coisa para você?"
"5c5bd350";"Still thirsty?";"Ainda com sede?"
"5cc3b593";"One day I'll get out of here. And then yer dead! Hear me? Dead!";"Um dia eu vou embora daqui. E aí você morre! Me ouviu? Morto!"
"5cc3b594";"I'll kill myself 'fore I do more work for ya? Ya hear me?!";"Eu me mato antes de trabalhar mais para você? Me ouviu?!"
"5cc3b595";"I'm begging you! Don't- don't keep torturing us like this!";"Eu imploro! Não... não continue nos torturando assim!"
"5cc3b596";"What did we do? What did we do to deserve this? Answer me!";"O que fizemos? O que fizemos para merecer isso? Responda-me!"
"5ccfbc15";"How can you do this to us?! And why won't you speak??? Speeeeak! Damn you!";"Como você pode fazer isso conosco?! E por que não fala??? Fale! Maldito!"
"5db21b79";"Do you have any kraken liquors?";"Vocês têm algum licor Kraken?"
"5db21b7a";"Fetch us some firewater, will you?";"Traga-nos um pouco de aguardente, por favor?"
"5db21b7e";"Can I have an Oakfield sour?";"Posso pedir uma Oakfield Sour?"
"5db21b7f";"I could murder some hobbe's water.";"Eu mataria por um pouco de água de Hobbes."
"5db3f1d5";"Give us a nice pint of toadslime.";"Nos dê um bom copo de gosma de sapo."
"5e0d1f92";"I'll have a Bloodstone Special, thank you very much.";"Vou querer um Bloodstone Special, muito obrigado."
"5e0d1f93";"Do you serve Jack of Blades cocktails? I hear they have a real kick.";"Vocês servem coquetéis Jack of Blades? Ouvi dizer que eles têm um efeito poderoso."
"5e0d1f94";"A pint of hobbe's water if you please.";"Uma caneca de água Hobbe, por favor."
"5e0d1f95";"A nice pint of Sandgoose Rum if you please.";"Uma caneca de rum Sandgoose, por favor."
"5edf4023";"A couple more swigs and I'll be ready to arm-wrestle a bull.";"Mais alguns goles e estarei pronto para uma queda de braço com um touro."
"5edf4024";"You know what's wrong with this town?! Not enough pie shops!";"Sabe o que há de errado com esta cidade?! Não há lojas de tortas suficientes!"
"5edf4025";"Hic, hic, he he he, oh, hic!";"Hic, hic, he he he, oh, hic!"
"5edf4027";"I think I just swallowed one of those pickled moles.";"Acho que acabei de engolir uma daquelas toupeiras em conserva."
"5ee3895f";"I'm sorry, let me introduce yourself. How do I do?";"Desculpe, deixe-me apresentar-me. Como vou?"
"5f60eb5a";"I still can't believe you're gone.";"Ainda não consigo acreditar que você se foi."
"5f60eb5b";"Rest in peace, old friend.";"Descanse em paz, velho amigo."
"5f60eb5c";"I hope I get such a good plot when my time comes.";"Espero ter um terreno tão bom quanto o seu quando chegar a minha hora."
"5f60eb5d";"Just think, down there the worms are feastin' away.";"Imagine só, lá embaixo as minhocas estão se banqueteando."
"5f60eb5e";"How's the dirt treatin' ya?";"Como a terra está te tratando?"
"5f60eb5f";"What a pathetic little grave.";"Que túmulo patético."
"5f63da40";"Such a tragic loss.";"Que perda trágica."
"60d583a1";"Oh, do you have any pink cocktails?";"Ah, você tem algum coquetel rosa?"
"60d583a2";"Nothing too strong, please. It might go to my head.";"Nada muito forte, por favor. Isso pode subir à minha cabeça."
"60d583a3";"Drink please!";"Uma bebida, por favor!"
"60d583a4";"I pint of stuff that makes you fall over.";"Uma caneca de algo que te faça cair."
"60d583a5";"I'd kill for a nice long drink.";"Eu mataria por uma boa bebida."
"60d583a7";"I nice pint of baby troll juice, please.";"Uma caneca de suco de troll bebê, por favor."
"60d5dc34";"Oh, I'd murder an iced tea.";"Ah, eu mataria por um chá gelado."
"61ddf0b9";"Let! Me! Ouuut!";"Me! Solte!"
"61ddf0bb";"What is wrong with you?? You're not human!";"O que há de errado com você?? Você não é humano!"
"61ddf0be";"I'll get you... gold! All the gold you ever wanted! Please! Please listen to me!";"Eu vou te dar... ouro! Todo o ouro que você sempre quis! Por favor! Por favor, me escute!"
"61ddf0bf";"Yer not suckin' the life outta me no more! See? Seeee?!! Argh! Argh! Ha ha ha ha!";"Você não vai mais sugar minha vida! Viu? Viu?!! Argh! Argh! Ha ha ha ha!"
"61e08d65";"This, this is the payment for my life of sins. I'm tellin' ya. This is the payment! You hear me all??!";"Este, este é o pagamento pela minha vida de pecados. Estou te dizendo. Este é o pagamento! Estão me ouvindo todos??!"
"6460f37a";"It's a tragedy...";"É uma tragédia..."
"6460f37b";"We'll never forget you.";"Nunca nos esqueceremos de você."
"6460f37c";"Wait a minute. I'm at the wrong grave.";"Espere um minuto. Estou no túmulo errado."
"6460f37d";"Whole family's buried in these parts.";"Toda a família está enterrada por aqui."
"6460f37e";"Only pieces buried here. rest got eaten by balverines.";"Apenas partes de nós foram enterradas aqui. O resto foi devorado por lagartos."
"6460f37f";"yes, you did indeed tell us you were ill. Why didn't we believe you?";"Sim, você realmente nos disse que estava doente. Por que não acreditamos em você?"
"6463f6f8";"I hope the afterlife is treating you well.";"Espero que o além esteja te tratando bem."
"65df4b29";"You think they water the drinks down? Cos I don't feel a thing. My legs for starters.";"Você acha que eles diluem as bebidas? Porque eu não sinto nada. Minhas pernas, para começar."
"65df4b2a";"Boy, all this hanging around sure is thirstymaking.";"Nossa, ficar tanto tempo parado dá uma sede danada."
