Hash;Original;Tradução
"292bd27";"She sure knows how to put the face paint on.";"Ela sabe como se maquiar."
"297c5d8";"Bit of rouge looks pretty tasty on her.";"Um pouco de blush fica muito bem nela."
"5a7852f";"You can tell a good haircut a mile off.";"Dá para reconhecer um bom corte de cabelo de longe."
"5a90355";"You think I could pull off that haircut?";"Você acha que eu conseguiria usar esse corte de cabelo?"
"7d7af0c";"Don't you touch me with those gloves. Bleedin' awful they are.";"Não me toque com essas luvas. Elas são horríveis."
"7d7af0f";"You wear those horrible gloves for a reason?";"Você usa essas luvas horríveis por algum motivo?"
"7d876bb";"I'm not a big fan of your gloves.";"Não sou muito fã das suas luvas."
"af97d4e";"I like a man with a moustache. I mean, just look at it!";"Eu gosto de homens com bigode. Quer dizer, olha só para ele!"
"b92cb0d";"A nice layer of face paint works wonders, doesn't it?";"Uma boa camada de maquiagem faz maravilhas, não é?"
"b9c222e";"Wish I knew how to make myself up like that.";"Quem me dera saber me maquiar assim."
"cb96add";"I may not be the cleanest, but at least I don't have a streak of dirt under my nose.";"Posso não ser o mais limpo, mas pelo menos não tenho uma mancha de sujeira debaixo do nariz."
"cb96ade";"Is that a rare breed of caterpillar? Or just a big nasal dropping?";"É uma espécie rara de lagarta? Ou apenas um grande cocô nasal?"
"cb975c0";"Looks like you've been drinking from a bucket of mud.";"Parece que você bebeu de um balde de lama."
"eb6d6a4";"What's that on you rlip. Your hormones playing up?";"O que é isso no seu lábio? Seus hormônios estão à flor da pele?"
"10b82524";"Wow, you must have a magic comb or something.";"Uau, você deve ter um pente mágico ou algo assim."
"10b82525";"You have amazing hair, if you don't mind me saying.";"Você tem um cabelo incrível, se me permite dizer."
"10baced1";"Who does your hair? Looks great.";"Quem corta seu cabelo? Ficou ótimo."
"1561419d";"That a hat or a Troll crap on your head?";"Isso é um chapéu ou uma porcaria de troll na sua cabeça?"
"1561419e";"Not everyone can get away with a hat. You, for example.";"Nem todo mundo pode usar chapéu sem parecer ridículo. Você, por exemplo."
"156327bd";"Get that awful thing off your head.";"Tire essa coisa horrível da sua cabeça."
"17b8302a";"You mind if I copy your haircut?";"Você se importa se eu copiar seu corte de cabelo?"
"17b8302f";"New haircut is it? Looks good.";"Corte de cabelo novo, é? Ficou bom."
"17b88e60";"Not bad, for a bunch of hair.";"Nada mal para um monte de cabelo."
"17b97c0c";"Is there something living in that filth under your nose?";"Tem alguma coisa vivendo nessa sujeira debaixo do seu nariz?"
"17b97c0f";"No, that moustache doesn't suit you at all.";"Não, esse bigode não combina nada com você."
"17bae97c";"Ugh. Shave it off. Please.";"Ugh. Raspe isso. Por favor."
"19293a4b";"What's going on with your hair?";"O que está acontecendo com o seu cabelo?"
"19293a4c";"Looks like some rats nested on your head.";"Parece que alguns ratos fizeram ninho na sua cabeça."
"19296bf6";"I'd change barbers if I were you.";"Eu trocaria de barbeiro se fosse você."
"192ac853";"Wow, a highwayman, that's so cool!";"Uau, um salteador de estradas, que legal!"
"1d605dcd";"Think she knows she can wax that upper lip of hers? Hee hee.";"Acha que ela sabe que pode depilar esse buço? Hehe."
"1e29426a";"Oh dear. What've you done to your hair?";"Nossa! O que você fez com o cabelo?"
"1e29426c";"Did your barber have some kind of accident?";"Seu barbeiro sofreu algum acidente?"
"1e2a22a4";"You been letting children cut your hair?";"Você deixou crianças cortarem seu cabelo?"
"1e614feb";"You might want to rethink the hat.";"Talvez você queira repensar o chapéu."
"1e614fee";"What the heck they got on their head?";"Que diabos eles têm na cabeça?"
"1e62bff9";"Where you get that hat? The rubbish tip?";"Onde você conseguiu esse chapéu? No lixão?"
"2070db56";"Ah, it is always good to meet one of the faithful. May the light guide you always.";"Ah, é sempre bom encontrar um dos fiéis. Que a luz o guie sempre."
"2070db57";"Ahh, a fellow disciple of the Light. May your path shine clear.";"Ah, um companheiro discípulo da Luz. Que seu caminho brilhe intensamente."
"2074f0b1";"How goes it fellow enlightened one.";"Como vai, companheiro iluminado?"
"212d4a31";"Ha ha! Well, don't you look pretty! Woo!";"Ha ha! Nossa, como você está linda! Uau!"
"212d4a33";"Is it carnival season already?";"Já é época de carnaval?"
"212d4a34";"Aren't you ashamed of yourself?";"Você não tem vergonha de si mesma?"
"212d4a35";"I too once dabbled in facial adornments, but was not entirely successful.";"Eu também já experimentei adornos faciais, mas não tive muito sucesso."
"212d4a36";"Hmm, perhaps I should attempt a similar look.";"Hmm, talvez eu devesse tentar um visual parecido."
"212d4a37";"Come 'ere sweetie!  Ha ha! The bleedin' shame of it...";"Vem cá, querida! Ha ha! Que vergonha..."
"2131f3d3";"Looking foxy! Ha ha!";"Arrasando! Hahaha!"
"282d5531";"Why, you look like some common wench.";"Ora, você parece uma qualquer."
"282d5532";"Are you a lady?";"Você é uma dama?"
"282d5533";"Yer a cheeky minx.";"Você é uma atrevida."
"282d5534";"Ohh... Trying to look nice for your next quest are you?";"Ohh... Tentando ficar bonita para sua próxima missão, é?"
"282d5535";"You're the least convincing woman I've ever seen.";"Você é a mulher menos convincente que eu já vi."
"282d5536";"Are you trying out for a brothel? Ha ha!";"Você está se candidatando a um bordel? Haha!"
"282ea245";"Well, aren't you a pretty little girl. Ha ha!";"Ora, ora, você é uma garotinha bonita. Haha!"
"2b9156b8";"Joining the orgy-planning party this weekend, my good cultist?";"Vai participar da festa de planejamento da orgia neste fim de semana, meu bom cultista?"
"35a1631c";"Wouldn't catch me wearing a hat like that.";"Eu jamais usaria um chapéu desses."
"35a2cae1";"Some people just shouldn't wear anything on their noggin'.";"Algumas pessoas simplesmente não deveriam usar nada na cabeça."
"3aa16b3c";"You think they realise how bad that hat looks?";"Você acha que eles percebem o quão horrível esse chapéu é?"
"3aa39088";"Maybe that ugly thing just dropped on their head.";"Talvez essa coisa feia tenha simplesmente caído na cabeça deles."
"3b5a607a";"Is that how you go on quests? Ha ha!";"É assim que você faz missões? Haha!"
"3b62bf61";"That's one ridiculous outfit. Ha ha.";"Que roupa ridícula. Haha."
"3fec4104";"Who cut their hair? Some kind of blind, shears-wielding maniac?";"Quem cortou o cabelo dela? Algum tipo de maníaco cego com uma tesoura na mão?"
"3fefa172";"It's like someone ripped the fur off an animal and stuck it on their head.";"Parece que alguém arrancou a pele de um animal e colou na cabeça dela."
"405a681b";"Ha! Look at you! Going to fancy dress party?";"Ha! Olha só você! Indo para uma festa à fantasia?"
"405a681d";"Nice to see you take yourself so seriously.";"Que bom ver você se levando tão a sério."
"405d0fd3";"Always dressing up, ain't ya?";"Sempre se arrumando, né?"
"42b9d8fa";"No need for all that makeup, you know.";"Não precisa de toda essa maquiagem, sabia?"
"42b9d8fd";"I'm not sure that makeup suits you.";"Não tenho certeza se essa maquiagem combina com você."
"42ba2b1a";"What you tryin' to hide with all that makeup?";"O que você está tentando esconder com toda essa maquiagem?"
"47b9e09a";"That's, er, interesting makeup...";"Essa maquiagem é, hum, interessante..."
"47b9e09c";"You've painted yourself up all wrong.";"Você se pintou todo errado."
"47bc2791";"Paint yourself up all ya want. Ain't gonna help.";"Pinte-se o quanto quiser. Não vai adiantar."
