Hash;Original;Tradução
"7098a38";"Look, it's The King. Wonder what she's up to.";"Olha, é o Rei. Será que ela está aprontando alguma coisa?"
"70c5c6d";"Look, it's The King. Wonder what he's up to.";"Olha, é o Rei. Será que ele está aprontando alguma coisa?"
"9b8cf79";"Nobhead? Ha. Best if you were anonymous.";"Cabeça-dura? Ha. Melhor se você permanecesse anônimo."
"9b8cf7a";"Oh dear, here comes the dreaded Nobhead.";"Oh, céus, lá vem o temido Cabeça-dura."
"9b8cf7b";"There goes the one and only Nobhead.";"Lá vai o único e inigualável Cabeça-Dura."
"9b8cf7c";"Hey, look, it's the Nobhead, ain't it?";"Ei, olha só, é o Cabeça-Dura, não é?"
"9b8cf7d";"Nobhead. I thought I only called my husband that.";"Cabeça-Dura. Pensei que só chamava meu marido assim."
"9b8cf7e";"That's really Nobhead you know.";"Esse é o verdadeiro Cabeça-Dura, sabia?"
"9bc1388";"Hey, that's Nobhead.";"Ei, esse é o Cabeça-dura."
"d0e6fca";"Don't try any of those sodding Will spells on me Conjurer.";"Não tente nenhum desses feitiços de Vontade em mim, Conjurador."
"d0e6fcb";"I have an uncle who does magic tricks, Conjurer. I killed him when he made my pet rat disappear.";"Eu tenho um tio que faz truques de mágica, Conjurador. Eu o matei quando ele fez meu rato de estimação desaparecer."
"d0e9e08";"You going to start pulling rabbits out of your arse, Conjurer?";"Vai começar a tirar coelhos do rabo, Conjurador?"
"d49468b";"Bounty Hunters take the law into their own hands. Stealing bread from my plate, you are!";"Caçadores de recompensas fazem justiça com as próprias mãos. Roubando o pão do meu prato, você está!"
"d4abcd7";"I've got no beef with bounty hunters - only the ones who break the law.";"Não tenho nada contra caçadores de recompensas - só contra aqueles que quebram a lei."
"e9ec83e";"Chicken Chaser.";"Caçador de Galinhas."
"ee722cf";"That there's the woman they call Queen.";"Essa é a mulher que chamam de Rainha."
"ee793aa";"That there's the man they call Queen.";"Esse é o homem que chamam de Rainha."
"11a3bed6";"I don't care much for butchers. I'm a vegetarian.";"Não gosto muito de açougueiros. Sou vegetariano."
"11a446fa";"I've always wanted to bring down the Butcher.";"Sempre quis derrubar o Açougueiro."
"128de036";"Call yourself the Avenger, do you? Guards are the only ones who mete out justice.";"Você se chama de Vingador, é? Só os guardas fazem justiça."
"1293f22f";"Ever tried to avenge yourself Avenger? You'll need to when I'm through with you.";"Já tentou se vingar, Vingador? Vai precisar quando eu terminar com você."
"12b8dd49";"Look! Nobhead. No, really. There's Nobhead.";"Olha! Cabeça-dura. Não, sério. Ali está o Cabeça-dura."
"12b8dd4b";"Someone is called Nobhead. I'm baffled.";"Alguém se chama Cabeça-dura. Estou perplexo."
"12b8dd4c";"Well, if it isn't The Nobhead. Look!";"Ora, se não é o Cabeça-dura. Olha!"
"12b8dd4d";"That is Nobhead? What an unfortunate title.";"Aquele é o Cabeça-dura? Que título infeliz."
"12b8dd4e";"Fancy going round with a name like Nobhead.";"Imagina andar por aí com um nome como Cabeça-dura."
"12b8dd4f";"That's the Nobhead you know.";"Esse é o Cabeça-dura que você conhece."
"12bb18fb";"Ain't that Nobhead? Yeah, it is!";"Não é o Cabeça-dura? É sim!"
"2da15d93";"Wow, it's the Queen! Look! Look!";"Uau, é a Rainha! Olha! Olha!"
"2da15d96";"Oh, do you see who that is? It's the Queen!";"Oh, você vê quem é? É a Rainha!"
"2da298e2";"All hail the Queen!";"Salve a Rainha!"
"2dc163de";"Look, it's Lionheart. Wonder what he's up to.";"Olha, é o Coração de Leão. Será que ele está aprontando alguma coisa?"
