Hash;Original;Tradução
"147601b";"Westcliff Shack";"Cabana de Westcliff"
"204bc69";"It doesn't look like much, because it isn't.";"Não parece grande coisa, porque não é."
"3482222";"1, Westcliff Docks, Westcliff";"1, Docas de Westcliff, Westcliff"
"5226511";"The Foaming Jugs";"Os Jarros Espumantes"
"556a337";"1b Oakfield Way, Oakfield";"Caminho de Oakfield, 1b, Oakfield"
"59ea55f";"Fighters would be foolish to enter the Crucible without getting the very best weapon they can afford.";"Seria tolice dos lutadores entrar no Crisol sem a melhor arma que puderem comprar."
"6017c80";"This watermill was built thanks to the donations received by the Temple of Light over many years.";"Este moinho d'água foi construído graças às doações recebidas pelo Templo da Luz ao longo de muitos anos."
"6a283a4";"Wraithmarsh";"Pântano Espectral"
"6a8c260";"Westcliff Shack";"Cabana de Westcliff"
"7a1e309";"1b Riverside Road, Oakfield";"Estrada de Riverside, 1b, Oakfield"
"8a37bb5";"Westcliff";"Westcliff"
"8a670d8";"Westcliff Caravan";"Caravana Westcliff"
"a1af250";"Westcliff Caravan";"Caravana Westcliff"
"b1e9d80";"Rare and fine wines at a bargain price!";"Vinhos raros e finos a um preço imperdível!"
"bbb5679";"3 Ocean Walk, Oakfield";"Calçadão de Ocean, 3, Oakfield"
"f64cbb3";"Westcliff Tattooist";"Tatuador de Westcliff"
"11d23e43";"During a period in which this house was unoccupied, the strange noises coming from within convinced everyone that it must be haunted. When the monks from the Temple of Light summoned the courage to enter in the hope of exorcising it, they discovered a group of hobbes who had made the place their home. The smell still hasn't entirely gone.";"Durante um período em que esta casa esteve desocupada, os estranhos ruídos vindos de dentro convenceram a todos de que ela devia ser assombrada. Quando os monges do Templo da Luz reuniram coragem para entrar na esperança de exorcizá-la, descobriram um grupo de hobbes que havia feito do lugar sua morada. O cheiro ainda não desapareceu completamente."
"11e8e907";"Oakfield Windmill";"Moinho de Oakfield"
"11ecbfa9";"Westcliff Shack";"Cabana de Westcliff"
"11feb385";"Whatever Barnum paid to have these caravans built, it was well worth it: they really add to the ambiance.";"Seja lá quanto Barnum pagou para construir essas caravanas, valeu a pena. Elas realmente contribuem para o ambiente."
"12ee265c";"One of the more picturesque shacks in Westcliff.";"Uma das cabanas mais pitorescas de Westcliff."
"1307d671";"Westcliff Food Stall";"Barraca de Comida Westcliff"
"164a1cf4";"Oakfield Clothing Stall";"Barraca de Roupas Oakfield"
"1946f2f2";"Hobbe Cottage";"Cabana do Hobbe"
"1993b874";"1 Crucible Walk, Westcliff";"Calçadão de Crucible, 1, Westcliff"
"1c1389b9";"Barnum's Wine Sale";"Liquidação de Vinhos do Barnum"
"1f5df4d9";"Apothecary Massive Sale";"Grande Liquidação da Farmácia"
"1fbe7dfe";"Wind-powered energy is here to stay.";"A energia eólica veio para ficar."
"262105f7";"Drafty, but the bugs swarming over you will keep you warm.";"Com corrente de ar, mas os insetos que te cercam te manterão aquecido."
"26b29810";"5 Barnum Road, Westcliff";"Estrada Barnum, 5, Westcliff"
"287cf91c";"Westcliff Caravan";"Caravana Westcliff"
"29776ee2";"Westcliff Shack";"Cabana de Westcliff"
"2b5cf02c";"These pretty little caravans were built as part of Barnum's Westcliff development project.";"Estas lindas caravanas foram construídas como parte do projeto de desenvolvimento Westcliff de Barnum."
"2c07a84a";"When Barnum developed Westcliff, he commissioned these caravans as accommodations for visitors.";"Quando Barnum desenvolveu Westcliff, ele encomendou essas caravanas como acomodações para os visitantes."
"2eab9bcd";"These cute caravans are a big improvement over the shacks that once dominated Westcliff.";"Essas caravanas charmosas são uma grande melhoria em relação aos barracos que antes dominavam Westcliff."
