Hash;Original;Tradução
"742dba0";"Hey, it's you!";"Ei, é você!"
"1ad983c2";"Always delighful to see you again.";"Sempre um prazer te ver de novo."
"1ad983c3";"Ahh, good to see you my friend.";"Ah, que bom te ver, meu amigo."
"1ad983c4";"Wonderful to see you as always.";"Maravilhoso te ver como sempre."
"1ad983c5";"Always great to see ya.";"Sempre ótimo te ver."
"1ae2ce74";"Not many people I like, but you're one of 'em.";"Não gosto de muitas pessoas, mas você é uma delas."
"1edf1c51";"Oh, delighted to see you again!";"Oh, que bom te ver de novo!"
"1edf1c52";"I truly enjoy your company.";"Eu realmente gosto da sua companhia."
"1edf1c53";"You're the best thing around here.";"Você é a melhor coisa por aqui."
"1edf1c54";"You're a sight for sore eyes, my friend.";"Você é um alívio para os olhos, meu amigo."
"1edf1c55";"If only everyone was like you.";"Se ao menos todos fossem como você."
"1edf1c57";"You're really something special.";"Você é realmente especial."
"1ee422ef";"You're a nice person. Well, I think so.";"Você é uma pessoa legal. Bem, eu acho que sim."
"21640371";"It's so nice to see your incredible fame hasn't gone to your head.";"É tão bom ver que sua fama incrível não subiu à cabeça."
"21640373";"You might be famous, but you're still the same person. That's what I like about you.";"Você pode ser famoso, mas continua sendo a mesma pessoa. É isso que eu gosto em você."
"21640376";"I'll be able to tell my grandchildren what a great and famous Hero I met once.";"Poderei contar aos meus netos sobre o grande e famoso Herói que conheci."
"21640377";"You're just the greatest adventurer that ever lived.";"Você é simplesmente o maior aventureiro que já existiu."
"216461df";"Got to say, I like having a celebrity mate.";"Devo dizer, gosto de ter um amigo famoso."
"25d99572";"Oh, how nice to see you again.";"Oh, como é bom te ver de novo."
"25d99573";"I wish more people were like you.";"Eu gostaria que mais pessoas fossem como você."
"25d99574";"You make me thinking better of all adventurers.";"Você me faz ter uma opinião melhor de todos os aventureiros."
"25d99575";"You're just super, you are.";"Você é simplesmente incrível."
"25da5ca3";"I'm always chuffed to see you.";"Sempre fico feliz em te ver."
"25df2759";"There's no one quite like you.";"Não existe ninguém como você."
"25df275a";"There's no one quite like you.";"Não existe ninguém como você."
"25df275c";"You're as wonderful as they come.";"Você é simplesmente maravilhoso(a)."
"25df275d";"You are a delight.";"Você é uma delícia."
"25df275e";"A delight as always.";"Uma delícia como sempre."
"25df275f";"You're one of my favourite people you know.";"Você é uma das minhas pessoas favoritas, sabia?"
"25e0bf62";"Hey, how you doing, pal?";"E aí, amigo?"
"27ceefa0";"You're my favourite famous hero in the whole wide world.";"Você é meu herói famoso favorito em todo o mundo."
"28640e73";"There's no better celebrity in the whole world than you!";"Não existe celebridade melhor no mundo do que você!"
"28640e74";"I love telling my friends about how I know a brilliant celebrity. You're just great.";"Adoro contar para os meus amigos que conheço uma celebridade incrível. Você é simplesmente demais."
"28640e75";"I'm so lucky to know someone as famous as you.";"Tenho muita sorte de conhecer alguém tão famoso quanto você."
"28640e76";"You're my favourite famous person in the world!";"Você é a minha pessoa famosa favorita no mundo!"
"28664ec1";"You're the greatest celebrity ever!";"Você é a maior celebridade de todos os tempos!"
"2a3a3239";"Anything I can do for you?";"Posso fazer algo por você?"
"2a3a323d";"Anything I can help you with, mate?";"Posso te ajudar em alguma coisa, amigo?"
"2a3a323e";"You're smashing.";"Você é demais."
"2a3a323f";"If you ever need anything, let me know.";"Se precisar de alguma coisa, me avise."
"2a3c0b26";"If you ever need anything, just let me now.";"Se precisar de alguma coisa, é só me avisar."
"2ecefaa0";"Woah! You're like the famousest hero ever! You're so great!";"Uau! Você é o herói mais famoso de todos os tempos! Você é demais!"
