Hash;Original;Tradução
"2b43244";"Oh yes! Show these thugs how it's done!";"Ah, sim! Mostre a esses bandidos como se faz!"
"3b2aaad";"Wow! You don't like to mess around, do you?";"Uau! Você não gosta de brincadeira, né?"
"44e9ab7";"Let's get to the cullis gate.";"Vamos para o portão de Cullis."
"4b435aa";"Didn't even give him a chance!";"Nem lhe dei uma chance!"
"54e9c2a";"My turn to break something.";"Minha vez de quebrar algo."
"56fab76";"Is that... a shard?";"Isso é... um fragmento?"
"771ec21";"A sunset's amazing. That thing's a bloody nightmare.";"Um pôr do sol é incrível. Aquilo é um pesadelo sangrento."
"8708ed0";"Amazing, isn't it?";"Incrível, não é?"
"976263b";"I know that's supposed to be comforting, but it's not.";"Eu sei que isso deveria ser reconfortante, mas não é."
"a71d662";"We have a small advantage-- they don't want us dead.";"Temos uma pequena vantagem: eles não querem que morramos."
"c736640";"And it's not alone. Looks like it's brought its own army.";"E não está sozinho. Parece que trouxe seu próprio exército."
"12d29afe";"Keep moving or it's all over.";"Continue se movendo ou tudo estará perdido."
"130ea79a";"Don't let up now, I'm almost finished.";"Não desista agora, estou quase terminando."
"13ccb8f7";"We can't help them.";"Não podemos ajudá-los."
"1bce79d3";"We need to get to the Commandant's chamber or we'll die here.";"Precisamos chegar à câmara do Comandante ou morreremos aqui."
"1e22dac5";"They're attacking Garth!";"Eles estão atacando o Garth!"
"1f232b24";"One got through, Garth's in trouble!";"Um passou, Garth está em apuros!"
"22955cc4";"Oh, sure, we'll do all the work while you sit there and think. Let me know when it's MY turn for a break, will you?";"Ah, claro, nós faremos todo o trabalho enquanto você fica aí sentada pensando. Me avise quando for MINHA vez de fazer uma pausa, tá bom?"
"23257de9";"Garth! Look out!";"Garth! Cuidado!"
"239888ff";"I must rely on the two of you to watch my back.";"Preciso contar com vocês dois para me protegerem."
"24241162";"They're all over Garth!";"Eles estão por toda parte, Garth!"
"24954320";"I will need to concentrate to start the gate.";"Preciso me concentrar para abrir o portal."
"2522ab58";"Come on, we have to get them off Garth!";"Vamos lá, temos que tirá-los de cima do Garth!"
"26d514f4";"Do not allow even one of Lucien's men to get close to Garth. He must be allowed to work.";"Não permita que nenhum dos homens de Lucien se aproxime de Garth. Ele precisa trabalhar."
"2c0c0db4";"What's wrong? Not used to being hit by a lady?";"O que houve? Não está acostumado a ser atingido por uma dama?"
"2d07c124";"And if you swallow it all, it can get you killed.";"E se você engolir tudo, pode te matar."
"2d0b5d68";"Just can't surrender can you?";"Simplesmente não consegue se render, consegue?"
"2e0eaece";"You're done for!";"Você está ferrado!"
"2f0eb0a1";"You'd be sore in the morning, if you lived to see it.";"Você estaria dolorido amanhã, se vivesse para ver isso."
"2fbebb02";"Stand and fight, or we're both going to die.";"Enfrente-nos ou nós dois vamos morrer."
"30bcc552";"We can't let them slow us down!";"Não podemos deixar que nos atrapalhem!"
"310b7a5a";"Block this!";"Bloqueie isso!"
"31bfb368";"Get up! There isn't much time!";"Levante-se! Não há muito tempo!"
"320a1132";"Same old nonsense.";"A mesma ladainha de sempre."
"320b5cf7";"You like that?";"Gostou?"
"33085760";"I went back to the Temple for a while...";"Voltei ao Templo por um tempo..."
"330e0ba8";"Why don't you run home to Lucien?";"Por que você não corre para casa para Lucien?"
"3377dae5";"I'm assuming you've been home. Heh... I imagine that was some family reunion!";"Presumo que você já tenha estado em casa. Heh... Imagino que tenha sido uma grande reunião de família!"
"34085861";"It really is great to have you back.";"É ótimo ter você de volta."
"3435cd21";"We're close, just a few more adjustments...";"Estamos quase lá, só faltam alguns ajustes..."
"35370b2a";"Come on, come on...";"Vamos lá, vamos lá..."
"35bd0f10";"Don't let them overwhelm you.";"Não deixe que isso te domine."
"3607d2f0";"It's a load of superstitious nonsense that never helped anybody.";"É um monte de bobagens supersticiosas que nunca ajudaram ninguém."
"363d06b8";"Almost there...";"Quase lá..."
"36c04567";"You're stronger than they are. Come on!";"Você é mais forte do que eles. Vamos lá!"
"370adb39";"Hey -- these aren't Old Kingdom schematics that teach you how to build guns that shoot lightning.";"Ei, esses não são esquemas do Antigo Império que ensinam a construir armas que disparam raios."
"371386d8";"I've rarely seen such power.";"Raramente vi tanto poder."
"3734e49d";"Just hold them off a little longer.";"Só mais um pouco de tempo para segurá-los."
"380b1126";"You made a big mistake joining up with Lucien!";"Você cometeu um grande erro ao se juntar a Lucien!"
"381a3f55";"They're no match for you.";"Eles não são páreo para você."
"383626dc";"Just a bit more.";"Só mais um pouco."
"39072670";"Ignorant men trying to tell everyone how to live their lives based on books written a thousand years ago.";"Homens ignorantes tentando dizer a todos como viver suas vidas com base em livros escritos há mil anos."
"390b0335";"How can you fight for that lunatic?";"Como você pode lutar por esse lunático?"
"39361369";"Oh... that wasn't supposed to happen. Damn it.";"Oh... isso não deveria ter acontecido. Maldição."
"3a35ca43";"I'll have this thing up in no time.";"Vou colocar isso no ar rapidinho."
"3c1464fe";"Maybe we will get out of here alive.";"Talvez a gente consiga sair daqui vivo."
"3d138a3a";"You fight well, I'll give you that.";"Você luta bem, isso eu admito."
"3e015af8";"Board the ship.";"Embarque no navio."
"3e0ca7a2";"Don't count on it. Lucien's men will be around somewhere.";"Não conte com isso. Os homens de Lucien devem estar por perto."
"3e145791";"A quicker death than he deserved.";"Uma morte mais rápida do que ele merecia."
"40b25926";"We're almost there. Come on!";"Estamos quase lá. Vamos lá!"
"4111abbd";"We shouldn't use the front gate. Lucien's men will be expecting us.";"Não devemos usar o portão da frente. Os homens de Lucien estarão nos esperando."
