Hash;Original;Tradução
"16bae8a";"Look out! It's firing!";"Cuidado! Está disparando!"
"2722700";"The Shard's shooting! Watch out!";"Tiroteio no The Shard! Cuidado!"
"36f8e6c";"I'd stay out of the way of that if I were you.";"Eu ficaria longe disso se fosse você."
"73ed310";"Does someone want to help gargoyle girl get back on her feet?";"Alguém quer ajudar a garota gárgula a se reerguer?"
"c3b9e94";"Hammer needs your assistance!";"Hammer precisa da sua ajuda!"
"d3ba179";"Hammer can't hold the beach by herself. She needs your help!";"Hammer não consegue segurar a praia sozinha. Ela precisa da sua ajuda!"
"e3c9e54";"Looks like big girl's in some trouble. But I'm rather busy myself.";"Parece que a grandona está em apuros. Mas eu também estou bastante ocupado."
"10a2322a";"Oh, do get up Garth, will you? You're letting the side down.";"Ah, levante-se, Garth, por favor. Você está decepcionando o grupo."
"10e61ec8";"Yes! Keep at it!";"Isso! Continue assim!"
"11dfe8c8";"Yes, it's working!";"Sim, está funcionando!"
"13806d11";"Reaver has fallen! Someone take his place!";"Reaver caiu! Alguém ocupe o lugar dele!"
"13e57ab3";"We're hurting it now!";"Estamos machucando agora!"
"147c14ec";"Someone assist Reaver! We need him if we're to end this Shard!";"Alguém ajude o Reaver! Precisamos dele para acabar com este Fragmento!"
"14e37664";"It won't last long if we can keep this up!";"Não vai durar muito se continuarmos assim!"
"157db0fb";"Reaver's down!";"Reaver caiu!"
"15a26708";"Garth's down! He needs your help!";"Garth está caído! Ele precisa da sua ajuda!"
"167eff8e";"Reaver! Check he's okay, will you? We need him!";"Reaver! Veja se ele está bem, por favor. Precisamos dele!"
"16a06ee8";"Make sure Garth's okay. He looks hurt!";"Veja se o Garth está bem. Ele parece machucado!"
"16e26b9a";"We can destroy it if we strike it enough.";"Podemos destruí-lo se o atacarmos o suficiente."
"17a12c7c";"Oh, dear, our wily wizard's having a lie down. Some aid perhaps?";"Oh, céus, nosso mago astuto está tirando um cochilo. Alguém pode me ajudar?"
"17e18fdf";"How do you like that, you glorified pebble?!";"E aí, seu pedregulho glorificado?!"
