Hash;Original;Tradução
"31b4911";"A statue of me? Like I could afford the Oakfield sculptor's prices.";"Uma estátua minha? Como se eu pudesse pagar os preços do escultor de Oakfield."
"31b4912";"I don't need to visit the sculptor of Oakfield to get me a statue. There's some mud in the backyard.";"Não preciso visitar o escultor de Oakfield para conseguir uma estátua. Tem um pouco de lama no quintal."
"31b4913";"I'm certain I would make a good model for the Oakfield sculptor.";"Tenho certeza de que eu seria um bom modelo para o escultor de Oakfield."
"31b4914";"The art of sculpture is ever so rare these days. Oakfield is the last haven for it.";"A arte da escultura é cada vez mais rara hoje em dia. Oakfield é o último refúgio para ela."
"31b4916";"The Oakfield sculptor's always on the lookout for models.";"O escultor de Oakfield está sempre à procura de modelos."
"31b4917";"Susannah? Isn't she the Oakfield sculptor?";"Susannah? Ela não é a escultora de Oakfield?"
"31c7218";"Oakfield's the place to be if you're having a statue made of yourself.";"Oakfield é o lugar certo se você quer uma estátua sua."
"81b5131";"Ye'd have to drag me kicking and screaming to the Oakfield sculptor. I ain't posing for no one.";"Você teria que me arrastar aos gritos e pontapés até o escultor de Oakfield. Não vou posar para ninguém."
"81b5132";"The Oakfield sculptor is a woman? Must be a strong 'un.";"A escultora de Oakfield é uma mulher? Deve ser uma mulher forte."
"81b5133";"I came across the most striking statue yesterday. Had all the hallmarks of the Oakfield sculptor.";"Ontem me deparei com uma estátua impressionante. Tinha todas as características da escultora de Oakfield."
"81b5135";"Ah yes, I was cogitating whether to visit the Oakfield sculptor. She could do a fine effigy of me.";"Ah, sim, eu estava pensando se deveria visitar a escultora de Oakfield. Ela poderia fazer uma bela efígie minha."
"81b5136";"Only place to go for a statue is Oakfield.";"O único lugar para se ir para ver uma estátua é Oakfield."
"81b5137";"The Oakfield sculptor's always on the lookout for models.";"O escultor de Oakfield está sempre à procura de modelos."
"81b7636";"A statue of myself? Like I could afford the Oakfield sculptor's prices.";"Uma estátua minha? Como se eu pudesse pagar os preços do escultor de Oakfield."
"11d3e3b3";"I'm telling you, a boy went into a cave all on his own. And it's full of hobbes!";"Estou lhe dizendo, um menino entrou em uma caverna sozinho. E está cheio de hobbes!"
"11d5b6db";"Someone better do something about that boy in the cave. The hobbes will get him for sure.";"É melhor alguém fazer alguma coisa com aquele menino na caverna. Os hobbes vão pegá-lo com certeza."
