Hash;Original;Tradução
"cd6a4d4";"I'm not sure I feel too safe with the Executioner around.";"Não tenho certeza se me sinto muito seguro com o Carrasco por perto."
"cd6a4d7";"I am almsot certain that is the Executioner.";"Tenho quase certeza de que é o Carrasco."
"cdafa24";"I'm pretty sure that's the Executioner.";"Tenho quase certeza de que é o Carrasco."
"13d731b5";"Look who's there. It's the Executioner.";"Olha quem está ali. É o Carrasco."
"25153bb5";"All hail the King!";"Salve o Rei!"
"25153bb6";"Wow, it's the King! Look! Look!";"Uau, é o Rei! Olha! Olha!"
"25188099";"Oh, do you see who that is? It's the King!";"Oh, você vê quem é? É o Rei!"
"26e7e01d";"That there's the woman they call Gunslinger.";"Essa é a mulher que chamam de Pistoleiro."
"26e906d4";"That there's the man they call Gunslinger.";"Esse é o homem que chamam de Pistoleiro."
"2cb096e4";"Hey, isn't that The Blade?";"Ei, aquele não é o Blade?"
"2cb200ff";"I do believe that is the adventurer Blade.";"Eu acredito que aquele seja o aventureiro Blade."
"33af5d5e";"Look, it's The Executioner. Wonder what she's up to.";"Olha, é a Carrasco. Será que ela está aprontando alguma coisa?"
"33b0c57e";"Look, it's The Executioner. Wonder what he's up to.";"Olha, é o Carrasco. Será que ele está aprontando alguma coisa?"
"35b0a4cb";"Doth my eyes deceive me or is that Blade?";"Meus olhos me enganam ou é mesmo o Blade?"
"35b0a4cc";"Yup, that's The Blade alright. Friendly kind of name, isn't it?";"Sim, é o Blade mesmo. Um nome amigável, não é?"
"35b0a4cd";"Look who goes there. It's The Blade!";"Olha quem está ali. É o Blade!"
"35b441c6";"I can't quite believe it, but that's really The Blade. Isn't it?";"Não consigo acreditar, mas é mesmo o Blade. Não é?"
"3fe6f7db";"Look who goes there. It's The King!";"Olha quem está ali. É o Rei!"
"4e048948";"Look, it's The Butcher. Wonder what she's up to.";"Olha, é a Açougueira. Será que ela está aprontando alguma coisa?"
"4e04d31c";"Look, it's The Butcher. Wonder what he's up to.";"Olha, é o Açougueiro. Será que ele está aprontando alguma coisa?"
"51df7403";"Hey, isn't that Blade there?";"Ei, aquele ali não é o Blade?"
"51df7406";"Is that not the one they call Blade?";"Não é aquele que chamam de Blade?"
"51e566d0";"Either I'm very much mistaken or that's Blade.";"Ou estou muito enganado ou aquele é o Blade."
"56c29b3a";"Hey, that's The Fearmonger there, isn't it?";"Ei, aquele ali é o Medomaníaco, não é?"
"56c29b3b";"Have you see who that is? It's the Fearmonger.";"Você viu quem é aquele? É o Medomaníaco."
"56c29b3c";"That's The Fearmonger there. Stay back.";"Aquele ali é o Medomaníaco. Fique longe."
"56c29b3d";"Fearmonger. That's a name I'd pick for my wife.";"Medomaníaco. Esse é um nome que eu escolheria para minha esposa."
"56c29b3e";"Watch out, everyone. Fearmonger's here.";"Cuidado, pessoal. O Medomaníaco está aqui."
"56c29b3f";"Is that not Fearmonger?";"Não é o Medomaníaco?"
"56c49f4c";"Ah, the Fearmonger walks amongst us.";"Ah, o Medomaníaco caminha entre nós."
"5786be8d";"I do believe that is the adventurer Butcher.";"Eu acredito que esse seja o aventureiro Açougueiro."
"578789ae";"Hey, isn't that The Butcher?";"Ei, não é o Açougueiro?"
"5bc2a2da";"Oh no. The Fearmonger.";"Ah, não. O Assustador."
"5bc2a2db";"There's the Fearmonger. I'm staying over here.";"Lá está o Assustador. Vou ficar por aqui."
"5bc2a2dc";"Oh, I thought that was a Balverine. It's the Fearmonger.";"Ah, pensei que fosse um Balverine. É o Medomante."
"5bc2a2dd";"Fearmonger. Stay outta that one's way.";"Medomante. Fique longe daquele."
"5bc2a2de";"Look over there. It's The Fearmonger.";"Olhe ali. É o Medomante."
"5bc2a2df";"Will fear follow the Fearmonger?";"O medo seguirá o Medomante?"
"5bc47583";"Fearmonger. That's someone I'd stay away from.";"Medomante. É alguém de quem eu me manteria longe."
"5bef39e9";"Look, it's The Blade. Wonder what she's up to.";"Olha, é a Blade. Será que ela está aprontando alguma coisa?"
"5bf045b9";"Look, it's The Blade. Wonder what he's up to.";"Olha, é a Blade. Será que ele está aprontando alguma coisa?"
"5dfa3f9d";"Well, if it isn't the Gunslinger.";"Ora, se não é o Pistoleiro."
"6286d03b";"Yup, that's The Butcher alright. Friendly kind of name, isn't it?";"É, esse é o Açougueiro mesmo. Um nome amigável, não é?"
"6286d03e";"Doth my eyes deceive me or is that Butcher?";"Meus olhos me enganam ou é o Açougueiro?"
"6286d03f";"I can't quite believe it, but that's really The Butcher. Isn't it?";"Não consigo acreditar, mas é mesmo o Açougueiro. Não é?"
"62897e25";"Look who goes there. It's The Butcher!";"Olha quem está ali. É o Açougueiro!"
"64f6881d";"I'm quite sure that's the one they call the Gunslinger.";"Tenho quase certeza de que esse é o tal Pistoleiro."
"64f6881e";"The Gunsliger approacges.";"O Pistoleiro se aproxima."
"64f75657";"No doubt about it, that's the Gunslinger.";"Sem dúvida, esse é o Pistoleiro."
"657f72de";"Look, it's The Conjurer. Wonder what he's up to.";"Olha, é o Conjurador. Será que ele está aprontando alguma coisa?"
"658040cf";"Look, it's The Conjurer. Wonder what she's up to.";"Olha só, é a Conjuradora. Será que ela está aprontando alguma coisa?"
"667635ce";"Hey, isn't that The Gunslinger?";"Ei, não é aquele o Pistoleiro?"
"667ab28b";"I do believe that is the adventurer Gunslinger.";"Eu acredito que esse seja o aventureiro Pistoleiro."
"6b763deb";"Look who goes there. It's The Gunslinger!";"Olha quem está ali. É o Pistoleiro!"
"6b763ded";"I can't quite believe it, but that's really The Gunslinger. Isn't it?";"Não consigo acreditar, mas é mesmo o Pistoleiro. Não é?"
"6b763dee";"Yup, that's The Gunslinger alright. Friendly kind of name, isn't it?";"É, esse é o Pistoleiro mesmo. Um nome amigável, não é?"
"6b768270";"Doth my eyes deceive me or is that Gunslinger?";"Meus olhos me enganam ou é mesmo o Pistoleiro?"
"7563eb0a";"Look! It's The Chosen One!";"Olha! É o Escolhido!"
"7563eb0b";"Do you see who's there? It's the Chosen One.";"Você vê quem está ali? É o Escolhido."
"7563eb0c";"Ah, The Chosen One. There, see?";"Ah, o Escolhido. Ali, viu?"
"7563eb0d";"Oh, look. The Chosen One.";"Ah, olha só. O Escolhido."
"7563eb0e";"Here's the Chosen One.";"Aqui está o Escolhido."
"7563eb0f";"I am certain that is the Chosen One.";"Tenho certeza de que esse é o Escolhido."
"7565523c";"Is that not the Chosen One?";"Esse não é o Escolhido?"
"7956690a";"That's the Joker isn't it?";"Esse é o Coringa, não é?"
"7956690b";"The Joker, huh? I don't get it.";"O Coringa, hein? Não entendi."
"7956690c";"Joker? Not a very heroic name, is it?";"Coringa? Não é um nome muito heroico, né?"
"7956690d";"Isn't that the one they call The Joker?";"Não é esse o cara que chamam de Coringa?"
"7956690e";"Hey, look, it's the Joker, ain't it?";"Ei, olha só, é o Coringa, não é?"
"7956690f";"The Joker? You? Do something humourous.";"O Coringa? Você? Faça alguma coisa engraçada."
"7957b63a";"Is that not the one they call Joker?";"Não é esse o que chamam de Coringa?"
"7a63f32a";"I never thought I'd see the Chosen One so closeup.";"Eu nunca pensei que veria o Escolhido tão de perto."
"7a63f32b";"Look, there. It's The Chosen One.";"Olha ali. É o Escolhido."
"7a63f32c";"Look! The Chosen One!";"Olha! O Escolhido!"
"7a63f32d";"I never thought I'd see The Chosen One so close up.";"Nunca pensei que veria o Escolhido tão de perto."
"7a63f32e";"I never thought I'd see the Chose One so close up.";"Nunca pensei que veria o Escolhido tão de perto."
"7a63f32f";"The Chosen One has arrived.";"O Escolhido chegou."
"7a6711b9";"Now I see why this one is The Chosen One. Majestic.";"Agora entendo por que este é o Escolhido. Majestoso."
"7dffb32f";"That there's the man they call Executioner.";"Esse é o homem que chamam de Carrasco."
"7e015cc9";"That there's the woman they call Executioner.";"Essa é a mulher que chamam de Carrasco."
"7e56712a";"There goes The Joker!";"Lá vai o Coringa!"
"7e56712b";"There goes the Joker.";"Lá vai o Coringa."
"7e56712c";"Isn't that Joker there?";"Não é o Coringa ali?"
"7e56712d";"Well, well, well, if it ain't the Joker.";"Ora, ora, ora, se não é o Coringa."
"7e56712e";"I'm telling ya, that's the Joker.";"Eu te digo, esse é o Coringa."
"7e56712f";"I do verily believe that is the Joker.";"Eu realmente acredito que esse é o Coringa."
"7e5741cc";"Here comes Joker.";"Lá vem o Coringa."
"96810541";"Look who goes there. It's The Conjurer!";"Olha quem está lá. É o Conjurador!"
"96810544";"I can't quite believe it, but that's really The Conjurer. Isn't it?";"Não consigo acreditar, mas é mesmo o Conjurador. Não é?"
"96810547";"Do my eyes play tricks or is that the Conjurer?";"Meus olhos estão me enganando ou é o Conjurador?"
"9681f8e8";"Yup, that's The Conjurer alright. Friendly kind of name, isn't it?";"Sim, é o Conjurador mesmo. Um nome amigável, não é?"
"9d811046";"I do believe that is the adventurer Conjurer.";"Acredito que esse seja o aventureiro Conjurador."
"9d84d5a1";"Hey, isn't that The Conjurer?";"Ei, não é aquele o Mágico?"
"a1c50111";"Isn't that Desperado over there.";"Aquele ali não é um Desperado?"
"a1c50112";"That Desperado. Such a scoundrel.";"Aquele Desperado. Um verdadeiro canalha."
"a1c50113";"Desperado. Sounds exotic...and dangerous. I like it.";"Desperado. Soa exótico... e perigoso. Gostei."
"a1c50114";"Desperado is among us.";"O Desperado está entre nós."
"a1c50116";"Oh, that's the Desperado.";"Ah, é o Desperado."
"a1c50117";"The Desperado! In person.";"O Desperado! Em pessoa."
"a1c71350";"I see the Desperado.";"Eu vejo o Desperado."
"a687efdc";"Here comes the Conjurer.";"Eis que surge o Conjurador."
"a687efdf";"That's the one they call the Conjurer, ain't it?";"Esse é o que chamam de Conjurador, não é?"
"a6887c70";"If I am not mistaken that is Conjurer.";"Se não me engano, esse é o Conjurador."
"a6c50931";"Desperado. Tough character.";"Desperado. Personagem durão."
"a6c50932";"Desperado. Sneaky one, that is.";"Desperado. Um astuto, isso sim."
"a6c50933";"It is the adventurer known to all as Desperado.";"É o aventureiro conhecido por todos como Desperado."
"a6c50935";"Ah, Desperado.";"Ah, Desperado."
"a6c50936";"Look who goes there. It's The Desperado!";"Olha quem está aí. É o Desperado!"
"a6c50937";"Check your pockets. It's the Desperado.";"Verifique seus bolsos. É o Desperado."
"a6c8e6b1";"Oh, Desperado. That's the one.";"Oh, Desperado. É esse mesmo."
"ab8e8b07";"I'm not kidding. It's the Conjurer.";"Não estou brincando. É o Conjurador."
"acb921b9";"Ah, the Brute. I've heard tales of that one.";"Ah, o Bruto. Já ouvi histórias sobre ele."
"acb921ba";"The Brute? How primitive.";"O Bruto? Que primitivo."
"acb921bb";"Ain't ever gonna mess with the Brute.";"Nunca vou mexer com o Bruto."
"acb921bc";"Tough as nails. That's the Brute.";"Durão como prego. Esse é o Bruto."
"acb921bd";"The Brute. You can spot that one coming at you.";"O Bruto. Você consegue vê-lo vindo na sua direção."
"acb921be";"The Brute is back!";"O Bruto está de volta!"
"acc20834";"Hey, that The Brute, isn't it?";"Ei, esse é o Bruto, não é?"
"ae929428";"That there's the man they call Conjurer.";"Esse é o homem que chamam de Mágico."
"ae94b2d1";"That there's the woman they call Conjurer.";"Essa é a mulher que chamam de Ilusionista."
"b35283e7";"I do believe that is the adventurer Executioner.";"Acho que esse é o aventureiro Carrasco."
"b352c9eb";"Hey, isn't that The Executioner?";"Ei, não é o Carrasco?"
"b5b92f89";"Look out! It's The Brute!";"Cuidado! É o Bruto!"
"b5b92f8b";"Wow. It's the Brute.";"Uau. É o Bruto."
"b5b92f8c";"It's The Brute!";"É o Bruto!"
"b5b92f8d";"The Brute, I see.";"O Bruto, eu vejo."
"b5b92f8e";"The Brute! Where mind fails, muscle prevails.";"O Bruto! Onde a mente falha, a força prevalece."
"b5b92f8f";"Oh dear. The Brute!";"Oh, céus. O Bruto!"
"b5ba6c57";"Look who it is! It's The Brute!";"Olha só quem está aqui! É o Bruto!"
"ba528ee9";"I can't quite believe it, but that's really The Executioner. Isn't it?";"Não consigo acreditar, mas esse é mesmo o Carrasco. Não é?"
"ba528eed";"Look who goes there. It's The Executioner!";"Olha quem está aí. É o Carrasco!"
"ba528eee";"What a chilling sight! The Executioner!";"Que visão arrepiante! O Carrasco!"
"ba54fbf5";"Yup, that's The Executioner alright. Friendly kind of name, isn't it?";"É, esse mesmo é o Carrasco. Um nome amigável, não é?"
"bc570aba";"That there's the woman they call Butcher.";"Aquela ali é a mulher que chamam de Açougueira."
"bc579384";"That there's the man they call Butcher.";"Aquele ali é o homem que chamam de Açougueiro."
"c774ec51";"Isn't that the Dog Lover?";"Não é aquele o Amante de Cães?"
"c774ec53";"Look! The Dog Lover!";"Olha! O Amante de Cães!"
"c774ec54";"Oh, the Dog Lover is here.";"Ah, o Amante de Cães está aqui."
"c774ec55";"Ah, how charming. The Dog Lover.";"Ah, que encanto. O Amante de Cães."
"c774ec56";"I see the Dog Lover is back.";"Vejo que o Amante de Cães está de volta."
"c774ec57";"Hey, look, it's the Dog Lover, ain't it?";"Ei, olha só, é o Amante de Cães, não é?"
"c77540f2";"Isn't that Dog Lover over there.";"Aquele ali não é o Amante de Cães?"
"ce74f751";"No doubt that is the Dog Lover.";"Sem dúvida, esse é o Amante de Cães."
"ce74f752";"Why, it is the Dog Lover.";"Ora, é o Amante de Cães."
"ce74f753";"Dog Lover? That ain't literal, is it?";"Amante de Cães? Isso não é literal, né?"
"ce74f754";"Dthat mutt's always following Dog Lover.";"Aquele vira-lata está sempre seguindo o Amante de Cães."
"ce74f755";"Oh, that's the Dog Lover. I'm telling you!";"Ah, esse é o Amante de Cães. Eu te digo!"
"ce74f756";"Never see that Dog Lover without that dog, do you?";"Nunca se vê esse Amante de Cães sem o cachorro, né?"
"ce7aa058";"Look who goes there. It's The Dog Lover!";"Olha quem está aí. É o Amante de Cães!"
"cee22509";"Perhaps one day I'll hire you, Bounty Hunter.";"Talvez um dia eu te contrate, Caçador de Recompensas."
"cee2250a";"Do you see who it is? None other than the Bounty Hunter.";"Você vê quem é? Ninguém menos que o Caçador de Recompensas."
"cee2250b";"There goes The Bounty Hunter.";"Lá vai o Caçador de Recompensas."
"cee2250c";"That's one tough customer, the Bounty Hunter.";"Esse é um sujeito durão, o Caçador de Recompensas."
"cee2250d";"Oh look! There's the Bounty Hunter.";"Olha só! Lá está o Caçador de Recompensas."
"cee2250e";"Can you believe it's the Bounty Hunter?";"Dá para acreditar que é o Caçador de Recompensas?"
"cee29540";"The Bounty Hunter, look.";"O Caçador de Recompensas, olha só."
"d7e23359";"That's really the Bounty Hunter, isn't it?";"É mesmo o Caçador de Recompensas, não é?"
"d7e2335b";"That's really the Bounty Hunter? Ahh!";"É mesmo o Caçador de Recompensas? Ah!"
"d7e2335c";"Hey, it's the Bounty Hunter!";"Ei, é o Caçador de Recompensas!"
"d7e2335d";"Smashing, it's that Bounty Hunter person.";"Incrível, é aquele Caçador de Recompensas!"
"d7e2335e";"That is indeed Bounty Hunter.";"É mesmo o Caçador de Recompensas!"
"d7e2335f";"Hey, it's that Bounty Hunter, ain't it?";"Ei, é aquele Caçador de Recompensas, não é?"
"d7e382cd";"I'm telling ya, that's the Bounty Hunter";"Eu te digo, é o Caçador de Recompensas!"
"d9d73bc5";"Look who it is, it's the Butcher.";"Olha quem está aqui, é o Açougueiro."
"d9d73bc6";"Look who it is. It's the Butcher.";"Olha quem está ali. É o Açougueiro."
"d9d7aba9";"Look who goes there, it is the Butcher.";"Olha quem está ali, é o Açougueiro."
"da810ff1";"I'm telling ya, that's the Dumpling.";"Eu te digo, esse é o Bolinho."
"da810ff2";"That's the one they call Dumpling, right?";"É aquele que chamam de Bolinho, né?"
"da810ff3";"Ah, it's the Dumpling.";"Ah, é o Bolinho."
"da810ff4";"Doth mine eyes deceive me, or is that the Dumpling?";"Meus olhos me enganam, ou aquele é o Bolinho?"
"da810ff6";"Well, if it isn't the Dumpling over there.";"Ora, se não é o Bolinho ali."
"da810ff7";"The Dumpling is right over there.";"O Bolinho está bem ali."
"da8471be";"Look who's there, it's the Dumpling.";"Olha quem está ali, é o Bolinho."
"df811791";"Hey, look, it's the Dumpling, ain't it?";"Ei, olha só, é o Dumpling, não é?"
"df811792";"Hey, look! The Dumpling! See?";"Ei, olha só! O Dumpling! Viu?"
"df811793";"They call that adventurer the Dumpling you know.";"Eles chamam aquele aventureiro de Dumpling, sabia?"
"df811795";"There's the Dumpling. Hello there.";"Lá está o Dumpling. Olá!"
"df811796";"The Dumpling, over there.";"O Bolinho, ali."
"df811797";"Well, well. It's the Dumpling.";"Ora, ora. É o Bolinho."
"df81f601";"Ah, Dumpling. You're just the sweetest.";"Ah, Bolinho. Você é um amor."
"e4d7744e";"I'm telling you, it's the Butcher!";"Estou te dizendo, é o Açougueiro!"
"eb6e538a";"Make way for the Chicken Chaser!";"Abram caminho para o Caçador de Galinhas!"
"eb6e538b";"Chicken Chaser! It's the Chicken Chaser!";"Caçador de Galinhas! É o Caçador de Galinhas!"
"eb6e538c";"Chicken Chaser? Really? That one?";"Caçador de Galinhas? Sério? Esse mesmo?"
"eb6e538d";"There goes that Chicken Chaser.";"Lá se vai o Caçador de Galinhas."
"eb6e538e";"That Chicken Chaser. Always on the move.";"Aquele Caçador de Galinhas. Sempre em movimento."
"eb6e538f";"Chicken Chaser? Do chickens pose a threat to us?";"Caçador de Galinhas? Galinhas representam uma ameaça para nós?"
"eb6ea001";"Chicken Chaser? How common.";"Caçador de Galinhas? Quão comum."
"ed9cb7ff";"That there's the woman they call Blade.";"Aquela é a mulher que chamam de Blade."
"eda2c6c0";"That there's the man they call Blade.";"Esse é o homem que chamam de Blade."
"f06e5baa";"Farmers! Lock up your chickens. It's the Chicken Chaser.";"Fazendeiros! Tranque suas galinhas. É o Caçador de Galinhas."
"f06e5bab";"Hey, it's Chicken Chaser!";"Ei, é o Caçador de Galinhas!"
"f06e5bac";"Oh, that's the Chicken Chaser. I'm telling you!";"Ah, é o Caçador de Galinhas. Estou te dizendo!"
"f06e5bad";"Lock up your chickens. It's  Chicken Chaser.";"Tranque suas galinhas. É o Caçador de Galinhas."
"f06e5bae";"I'm telling ya, that's the Chicken Chaser.";"Estou te dizendo, esse é o Caçador de Galinhas."
"f06e5baf";"Chicken Chaser isn't a very inspiring name, now is it?";"Caçador de Galinhas não é um nome muito inspirador, não é?"
"f06f7561";"The Chicken Chaser. Hmm...not exactly regal, is it?";"O Caçador de Galinhas. Hmm... não é exatamente majestoso, né?"
"f1376d6b";"Look, it's The Gunslinger. Wonder what she's up to.";"Olha, é a Pistoleiro. Será que ela está aprontando alguma coisa?"
"f13a08fd";"Look, it's The Gunslinger. Wonder what he's up to.";"Olha, é o Pistoleiro. Será que ele está aprontando alguma coisa?"
