Hash;Original;Tradução
"c134feb";"I want to be the most famous Hero in the world, just like you, dad!";"Quero ser o herói mais famoso do mundo, igual a você, pai!"
"c13bac1";"I want to be the most famous Hero in the world, just like you, mum!";"Quero ser o herói mais famoso do mundo, igual a você, mãe!"
"d3ba17b";"Hey, you from that Temple of Shadows? Nice place.";"Ei, você é daquele Templo das Sombras? Lugar legal."
"d3ba17d";"You foul cultist. Go eat your crunchy chickens someplace else.";"Seu cultista imundo. Vá comer seu frango crocante em outro lugar."
"d3bcb00";"I don't like you shadow-worshippers.";"Eu não gosto de vocês, adoradores de sombras."
"1168745a";"Those are the worst clothes ever.";"Essas são as piores roupas de todos os tempos."
"122bbcba";"That beard really looks good on you.";"Essa barba fica muito bem em você."
"122bbcbd";"That's one smart beard!";"Que barba estilosa!"
"122c181a";"Can't beat a nice bit of chin fuzz, huh?";"Nada como um pouco de barba rala no queixo, né?"
"172bc45b";"I do like a good beard. Like yours.";"Eu gosto de uma boa barba. Como a sua."
"172bc45d";"Wow, never seen a beard like that before.";"Uau, nunca vi uma barba assim antes."
"172c5616";"That's the best beard I've seen in ages.";"Essa é a melhor barba que já vi em anos."
"1788b0d9";"You're the bestest mum in the world. But don't tell my friends I said that.";"Você é a melhor mãe do mundo. Mas não conte para os meus amigos que eu disse isso."
"1788dc51";"I want to be just like you when I grow up, dad.";"Quero ser igual a você quando crescer, pai."
"183bb2ae";"How're things at the Temple of Shadows?";"Como estão as coisas no Templo das Sombras?"
"183eab5e";"You! You're a shadow-worshipper, aren't you?";"Você! Você é um adorador das sombras, não é?"
"1866a5f5";"Why are you wearing such horrible clothes?";"Por que você está usando roupas tão horríveis?"
"1ac52186";"Worst coat I ever saw.";"O pior casaco que já vi."
"1ac52187";"Ugh, that coat is horrible.";"Credo, esse casaco é horrível."
"1acc6015";"You didn't pay for that ugly coat, did you?";"Você não pagou por esse casaco feio, né?"
"1fc529a6";"That coat's not good enough to puke on.";"Esse casaco não é bom o suficiente nem para vomitar."
"1fc529a7";"Is that a coat or a dead balverine?";"Isso é um casaco ou um balverine morto?"
"1fc7ef61";"Why would you were a coat like that?";"Por que alguém usaria um casaco desses?"
"26705688";"What a pretty girl. Ha ha!";"Que garota bonita. Hahaha!"
"2673c053";"Come on! You're supposed to show a bit of leg!";"Vamos lá! Você deveria mostrar um pouco da perna!"
"28cc856a";"Wish I could afford to dress like that. Hm, maybe I can...";"Quem me dera poder me vestir assim. Hm, talvez eu possa..."
"28cc856d";"Oh, I wouldn't mind an outfit like that.";"Ah, eu não me importaria de ter uma roupa dessas."
"28cc856e";"I could sure use some sweet clothes like those.";"Eu bem que poderia usar umas roupas legais assim."
"28cc856f";"I wonder where I may pruchase clothes as perfect as those.";"Onde será que eu consigo comprar roupas tão perfeitas quanto essas?"
"28ce0090";"Look, it is an exquisite outfit, is it not?";"Olha, que roupa requintada, não é?"
"2b8dec37";"Ah, a fellow Shadow-woshipper. The bat flies at midnight.";"Ah, um companheiro adorador das Sombras. O morcego voa à meia-noite."
"2dcc8d0b";"That's one nattily dressed adventurer.";"Que aventureiro elegantemente vestido."
"2dcc8d0d";"I wish I had that kind of dress sense.";"Quem me dera ter esse senso de moda."
"2dcd4336";"Have you seen that outfit? Looks great, don't you think?";"Você viu essa roupa? Ficou ótima, não acha?"
"2fbc1d88";"Are you sure those clothes are meant for a man?";"Tem certeza de que essas roupas são para homem?"
"2fbc3008";"Bit of a tomboy, are we?";"Um pouco moleca, não é?"
"31975fde";"Does this mean I can wear a skirt?";"Isso significa que posso usar saia?"
"31996b89";"Aren't those clothes a bit... well, girly?";"Essas roupas não são um pouco... femininas demais?"
"323c85d3";"You know what would look really good on you? A razor and some shaving foam.";"Sabe o que ficaria muito bem em você? Uma lâmina de barbear e espuma de barbear."
"323c85d6";"Do us a favour and shave, will you?";"Faça-nos um favor e faça a barba, por favor?"
"323d6964";"Your face fuzz's giving people nightmares.";"Seus pelos faciais estão dando pesadelos às pessoas."
"32791508";"How's it going, dad?";"Como vai, pai?"
"327c2cd5";"How's it going, mum?";"Como vai, mãe?"
"37fd5149";"Ha ha! What's with the face-fuzz, love?";"Haha! Que barba é essa, querida?"
"37fd514a";"Ooooh, nothin' I like more on a woman than a nice bushy beard. Ho ho!";"Ooooh, nada que eu goste mais em uma mulher do que uma bela barba cheia. Ho ho!"
"37fd514b";"Ah, a bearded lady. Fascinating.";"Ah, uma mulher barbada. Fascinante."
"37fd514d";"You appear to have some kind of medical oddity. Beardyladiatus I believe the condition is called.";"Você parece ter algum tipo de anomalia médica. Acho que é assim que se chama a doença."
"37fd514e";"Wish I could grow a bread like that!";"Quem me dera poder cultivar um pão assim!"
"37fd514f";"You know, they make a cream for that. My mother-in-law uses it all the time. Ha ha.";"Sabe, existe um creme para isso. Minha sogra usa direto. Haha."
"37fe3f03";"Hmm, your face is hairier than your dog's.";"Hum, seu rosto é mais peludo que o do seu cachorro."
