Hash;Original;Tradução
"221c0ba";"Pure";"Puro"
"2227be4";"Pure";"Puro"
"3fcf72d";"Snobbish";"Esnobe"
"3ff9d29";"Snobbish";"Esnobe"
"473585a";"Righteous";"Justo"
"47adcd0";"Righteous";"Justo"
"4c4048d";"Randy";"Randy"
"4c67219";"Randy";"Randy"
"5502648";"Make him bleed!";"Faça-o sangrar!"
"550aef6";"Make her bleed!";"Faça-a sangrar!"
"569d63b";"Polite";"Educado"
"56d5f32";"Polite";"Educado"
"7f1e02a";"I bet her arm's sore after that!";"Aposto que o braço dela está doendo depois disso!"
"7f260c5";"I bet his arm's sore after that!";"Aposto que o braço dele está doendo depois disso!"
"9781a8a";"Good one, pal! Sent her flying you did!";"Boa, amigo! Você a mandou voando!"
"97f9477";"Good one, pal! Sent him flying you did!";"Boa, amigo! Você o mandou voando!"
"ee88f2e";"Transvestite-Appreciating";"Apreciador de Travestis"
"ee8a9de";"Transvestite-Appreciating";"Apreciador de Travestis"
"10425548";"Pretentious";"Pretensioso"
"10440d26";"Pretentious";"Pretensioso"
"13ffbf8a";"Oh, he didn't see that coming!";"Ah, ele não esperava por essa!"
"140033f0";"Oh, she didn't see that coming!";"Ah, ela não esperava por essa!"
"15532a56";"Yer a vicious beast. Ha ha!";"Você é uma fera cruel. Ha ha!"
"15532a57";"We'll loot that body later.";"Vamos saquear esse corpo depois."
"155a2e0c";"See if there's any gold on that one.";"Vamos ver se tem ouro ali."
"170e609f";"Vivacious";"Vivaz"
"17122ff4";"Vivacious";"Vivaz"
"1787e722";"Didn't see that one coming, did ya?";"Essa você não esperava, né?"
"1788b0d2";"Ha ha! Yes! Harder!";"Haha! Isso! Mais forte!"
"1ce7e421";"You blocked it alright!";"Você bloqueou direitinho!"
"1ce7e422";"That's the way!";"Isso mesmo!"
"1ceacc9a";"Good stop!";"Boa parada!"
"1fa111b8";"You really knocked that sod down!";"Você derrubou aquele touro!"
"1fa284e3";"You really knocked that cow down!";"Você derrubou aquela vaca!"
"208f755d";"Secretive";"Secreto"
"20909376";"Secretive";"Secreto"
"20a5a8e8";"Well Known";"Bem Conhecido"
