Hash;Original;Tradução
"10df97a9";"Ooh, you've got some moves, kid! Learn them from your mum?";"Uau, você tem uns bons passos, garoto! Aprendeu com a sua mãe?"
"10dfd728";"Ooh, you've got some moves, kid! Learn them from your dad?";"Uau, você tem uns bons movimentos, garoto! Aprendeu com seu pai?"
"25a0931d";"Nice one! You're an adventurer's son through and through.";"Boa! Você é filho de aventureiro de corpo e alma."
"25e73fc8";"Oh, brave adventurer! Are you going on a quest with your dad?";"Oh, bravo aventureiro! Vai numa missão com seu pai?"
"25e79430";"Oh, brave adventurer! Are you going on a quest with your mum?";"Oh, bravo aventureiro! Você vai em uma missão com sua mãe?"
"28868308";"Ha! She's a real comedian, just like her father.";"Ha! Ela é uma verdadeira comediante, assim como o pai dela."
"28878bd1";"Ha! She's a real comedian, just like her mother.";"Ha! Ela é uma verdadeira comediante, assim como a mãe dela."
"2926715f";"Ahh, he's a good kid, just like his father.";"Ah, ele é um bom garoto, assim como o pai."
"292799f0";"Ahh, he's a good kid, just like his mother.";"Ah, ele é um bom garoto, igualzinho à mãe."
"29ade7be";"Ha ha! You've got the same comedy chops as your father.";"Haha! Você tem o mesmo talento para comédia que seu pai."
"29b0b98a";"Ha ha! You've got the same comedy chops as your mother.";"Haha! Você tem o mesmo talento para comédia que sua mãe."
"2a98f415";"Well, ain't you a peach of a kid?";"Nossa, que criança adorável!"
"2a9b0aca";"You're a nice kid. I bet you'll make a great adventurer.";"Você é uma criança muito legal. Aposto que você será um ótimo aventureiro."
"31eddeb2";"Well, will you look at that. He's a chip off the old block ain't he?";"Olha só! Ele é a cara do pai, não é?"
"36e9d0a9";"Hee hee! You're almost as funny as your dad, kid!";"Hehe! Você é quase tão engraçado quanto seu pai, garoto!"
"36ed1c70";"Hee hee! You're almost as funny as your mum, kid!";"Hehe! Você é quase tão engraçado quanto sua mãe, garoto!"
"38b66278";"Wasn't that great? That girl takes after her dad alright.";"Não foi ótimo? Aquela menina puxou ao pai, com certeza."
"38b74319";"Wasn't that great? That girl takes after her mum alright.";"Não foi ótimo? Essa menina puxou à mãe, com certeza."
"39e9b94d";"Practising to be an adventurer like your mother, eh boy?";"Praticando para ser um aventureiro como sua mãe, hein, garoto?"
"39ef97e0";"Practising to be an adventurer like your father, eh boy?";"Praticando para ser um aventureiro como seu pai, hein, garoto?"
"3e8178c8";"I see you're following in your father's footsteps, eh lass?";"Vejo que você está seguindo os passos do seu pai, hein, mocinha?"
"3e8293e6";"I see you're following in your mother's footsteps, eh lass?";"Vejo que você está seguindo os passos da sua mãe, hein, mocinha?"
"3f67d70d";"Jolly funny, young man. You are as amusing as your father.";"Muito engraçado, rapaz. Você é tão divertido quanto seu pai."
"3f6bb836";"Jolly funny, young man. You are as amusing as your mother.";"Muito engraçado, rapaz. Você é tão divertido quanto sua mãe."
"47cd3fc8";"Practising to be an adventurer like your father, eh girl?";"Praticando para ser uma aventureira como seu pai, hein, garota?"
"47ce7bb8";"Practising to be an adventurer like your mother, eh girl?";"Praticando para ser uma aventureira como sua mãe, hein, garota?"
"498c1ab0";"Ha ha, you know funny, don't ya boy?";"Ha ha, você sabe que é engraçado, né, garoto?"
"49a8811e";"Learn those fighting moves from your mother, did you sweetie?";"Aprendeu esses golpes de luta com a sua mãe, não é, querida?"
"49a900f3";"Learn those fighting moves from your father, did you sweetie?";"Aprendeu esses golpes de luta com o seu pai, não é, querida?"
"4b54f70f";"That's great stuff, boy. You're just like your mother.";"Isso é ótimo, garoto. Você é igualzinho à sua mãe."
"4b5533db";"That's great stuff, boy. You're just like your father.";"Isso é ótimo, garoto. Você é igualzinho ao seu pai."
"52801087";"Well, will you look at that. She's a chip off the old block ain't she?";"Olha só! Ela puxou ao pai, não é?"
"5c217b7b";"Such a delightful girl. Your mother has taught you well.";"Que menina encantadora. Sua mãe te ensinou muito bem."
"5c24a7c1";"Such a delightful girl. Your father has taught you well.";"Que menina encantadora. Seu pai a educou bem."
"5fa68afb";"I say must you play so roughly in your attempts to emulate your father, boy?";"Eu digo, você precisa mesmo brincar tão grosseiramente em suas tentativas de imitar seu pai, garoto?"
"5faaab25";"I say must you play so roughly in your attempts to emulate your mother, boy?";"Eu digo, você precisa mesmo brincar tão grosseiramente em suas tentativas de imitar sua mãe, garoto?"
"60f89dbd";"Ha ha! That was pretty funny! Your dad teach you that, boy?";"Haha! Isso foi muito engraçado! Seu pai te ensinou isso, garoto?"
"60fc5925";"Ha ha! That was pretty funny! Your mum teach you that, boy?";"Haha! Isso foi muito engraçado! Sua mãe te ensinou isso, garoto?"
