Hash;Original;Tradução
"918db20";"This is a collection of predictions and doom-mongerings from the mystic and soothsayer Arthur Dandelion. His more cryptic visions, such as the one about two brothers of little wit who shall release howling death upon a town of blood, have invited speculation and much shrugging of shoulders.
Among his other prophecies is the one that foresees the invention of a machine that will aid in the cleaning of soiled garments.
His most famous warning is the one that predicts the end of the world. According to Dandelion, it will not come suddenly, but: "the ground shall shake, and the past shall erupt into the present in a most bloody manner. Though perhaps a strange being shall transform into a dragon and lay waste to all that lives long time before that happens. What do I know? This isn't an exact science or anything."";"Esta é uma coleção de previsões e presságios apocalípticos do místico e vidente Arthur Dandelion. Suas visões mais enigmáticas, como a de dois irmãos pouco inteligentes que desencadearão uma morte uivante sobre uma cidade ensanguentada, suscitaram especulações e muitos encolher de ombros. Entre suas outras profecias está a que prevê a invenção de uma máquina que auxiliará na limpeza de roupas sujas. Seu aviso mais famoso é o que prevê o fim do mundo. Segundo Dandelion, ele não virá repentinamente, mas a terra tremerá e o passado irromperá no presente de maneira sangrenta. Embora talvez um ser estranho se transforme em um dragão e destrua tudo o que vive muito antes disso acontecer. O que eu sei? Isso não é uma ciência exata nem nada do tipo."
"12b8dd48";"The Secret of Castle Fairfax, Part I";"O Segredo do Castelo Fairfax, Parte I"
"1533b452";"(This is an Expression manual.)
Learn how to sway your hips and shake that ass like the true sexual deviant you are. (Use this book to learn the Vulgar Thrust expression.)";"(Este é um manual de expressões.)
Aprenda a rebolar e sacudir a bunda como a verdadeira pervertida sexual que você é. (Use este livro para aprender a expressão "Empurrão Vulgar".)"
"1ef982c2";"Written by a member of the Canite tribe, native of the northern regions of Samarkand, and famed for their use of dogs in warfare. Use this book to train your dog in the art of fighting, increasing the damage he can do in combat.";"Escrito por um membro da tribo Canite, nativa das regiões do norte de Samarcanda, e famosa por usar cães na guerra. Use este livro para treinar seu cão na arte da luta, aumentando o dano que ele pode causar em combate."
"20f6cace";"Book of Worship";"Livro de Adoração"
"2acbe565";"The End is Almost Nigh";"O Fim Está Quase Próximo"
"2dec06d4";"The Finger";"O Dedo"
"2e988c91";"This is a collection of predictions and doom-mongerings from the mystic and soothsayer Arthur Dandelion. His more cryptic visions, such as the one about two brothers of little wit who shall release howling death upon a town of blood, have invited speculation and much shrugging of shoulders. Among his other prophecies is the one that foresees the invention of a machine that will aid in the cleaning of soiled garments. His most famous warning is the one that predicts the end of the world. According to Dandelion, it will not come suddenly, but: "the ground shall shake, and the past shall erupt into the present in a most bloody manner. Though perhaps a strange being shall transform into a dragon and lay waste to all that lives long time before that happens. What do I know? This isn't an exact science or anything."";"Esta é uma coleção de previsões e presságios de desgraça do místico e vidente Arthur Dandelion. Suas visões mais enigmáticas, como a dos dois irmãos de pouca inteligência que desencadearão uma morte uivante sobre uma cidade ensanguentada, suscitaram especulações e muitos encolher de ombros. Entre suas outras profecias está a que prevê a invenção de uma máquina que auxiliará na limpeza de roupas sujas. Seu aviso mais famoso é o que prevê o fim do mundo. Segundo Dandelion, ele não virá de repente, mas a terra tremerá e o passado irromperá no presente de maneira sangrenta. Embora talvez um ser estranho se transforme em um dragão e destrua tudo o que vive muito antes disso acontecer. O que eu sei? Isso não é uma ciência exata nem nada do tipo."
"39880363";"Written by a member of the Canite tribe, native of the northern regions of Samarkand, and famed for their use of dogs in warfare. Use this book to train your dog in the art of fighting, increasing the damage he can do in combat.";"Escrito por um membro da tribo Canite, nativa das regiões do norte de Samarcanda, e famosa pelo uso de cães na guerra. Use este livro para treinar seu cão na arte da luta, aumentando o dano que ele pode causar em combate."
"45179074";"(This is an Expression manual.)
This book will teach you the art of begging from a true master, Mandy the Mendicant, whose skills eventually made her one of the richest women in all of Albion. (Use to learn the Beg expression.)";"(Este é um manual de expressões.)
Este livro lhe ensinará a arte de mendigar com uma verdadeira mestra, Mandy, a Mendicante, cujas habilidades a tornaram uma das mulheres mais ricas de toda Albion. (Use para aprender a expressão "Mendigar".)"
